trials,nct_id,models,term,estimate,std.error,outcome,outcome_method
34,NCT00715624,rcs,arm_f=_2_Lixisenatide * sex,0.032,0.217,hba1c,locf
34,NCT00763815,rcs,Intercept,4.751,0.999,hba1c,locf
34,NCT00763815,rcs,value_1,0.252,0.044,hba1c,locf
34,NCT00763815,rcs,age10,0.15,0.216,hba1c,locf
34,NCT00763815,rcs,age10',-0.932,0.963,hba1c,locf
34,NCT00763815,rcs,age10'',2.458,2.856,hba1c,locf
34,NCT00763815,rcs,arm_f=_2_Lixisenatide,0.347,1.189,hba1c,locf
34,NCT00763815,rcs,sex,0.051,0.13,hba1c,locf
34,NCT00763815,rcs,age10 * arm_f=_2_Lixisenatide,-0.182,0.266,hba1c,locf
34,NCT00763815,rcs,age10' * arm_f=_2_Lixisenatide,0.675,1.162,hba1c,locf
34,NCT00763815,rcs,age10'' * arm_f=_2_Lixisenatide,-1.355,3.385,hba1c,locf
34,NCT00763815,rcs,arm_f=_2_Lixisenatide * sex,0.131,0.159,hba1c,locf
34,NCT00688701,rcs,Intercept,1.484,1.142,hba1c,locf
34,NCT00688701,rcs,value_1,0.838,0.053,hba1c,locf
34,NCT00688701,rcs,age10,-0.103,0.247,hba1c,locf
34,NCT00688701,rcs,age10',0.529,1.093,hba1c,locf
34,NCT00688701,rcs,age10'',-1.218,3.006,hba1c,locf
34,NCT00688701,rcs,arm_f=_2_Lixisenatide 1-step titration,0.319,1.428,hba1c,locf
34,NCT00688701,rcs,arm_f=_2_Lixisenatide 2-step titration,-0.843,1.482,hba1c,locf
34,NCT00688701,rcs,sex,-0.256,0.169,hba1c,locf
34,NCT00688701,rcs,age10 * arm_f=_2_Lixisenatide 1-step titration,-0.206,0.329,hba1c,locf
34,NCT00688701,rcs,age10' * arm_f=_2_Lixisenatide 1-step titration,0.615,1.5,hba1c,locf
34,NCT00688701,rcs,age10'' * arm_f=_2_Lixisenatide 1-step titration,-1.364,4.157,hba1c,locf
34,NCT00688701,rcs,age10 * arm_f=_2_Lixisenatide 2-step titration,0.082,0.339,hba1c,locf
34,NCT00688701,rcs,age10' * arm_f=_2_Lixisenatide 2-step titration,0.261,1.534,hba1c,locf
34,NCT00688701,rcs,age10'' * arm_f=_2_Lixisenatide 2-step titration,-1.939,4.412,hba1c,locf
34,NCT00688701,rcs,arm_f=_2_Lixisenatide 1-step titration * sex,0.072,0.236,hba1c,locf
34,NCT00688701,rcs,arm_f=_2_Lixisenatide 2-step titration * sex,0.061,0.234,hba1c,locf
34,NCT01648582,rcs,Intercept,3.4,1.111,hba1c,locf
34,NCT01648582,rcs,value_1,0.542,0.033,hba1c,locf
34,NCT01648582,rcs,age10,-0.031,0.244,hba1c,locf
34,NCT01648582,rcs,age10',-0.379,1.029,hba1c,locf
34,NCT01648582,rcs,age10'',0.951,2.895,hba1c,locf
34,NCT01648582,rcs,arm_f=_2_Dulaglutide 0.75,0.768,1.344,hba1c,locf
34,NCT01648582,rcs,arm_f=_2_Dulaglutide 1.5,1.039,1.35,hba1c,locf
34,NCT01648582,rcs,sex,-0.163,0.128,hba1c,locf
34,NCT01648582,rcs,age10 * arm_f=_2_Dulaglutide 0.75,-0.245,0.304,hba1c,locf
34,NCT01648582,rcs,age10' * arm_f=_2_Dulaglutide 0.75,1.371,1.33,hba1c,locf
34,NCT01648582,rcs,age10'' * arm_f=_2_Dulaglutide 0.75,-3.675,3.807,hba1c,locf
34,NCT01648582,rcs,age10 * arm_f=_2_Dulaglutide 1.5,-0.393,0.307,hba1c,locf
34,NCT01648582,rcs,age10' * arm_f=_2_Dulaglutide 1.5,1.94,1.358,hba1c,locf
34,NCT01648582,rcs,age10'' * arm_f=_2_Dulaglutide 1.5,-4.682,3.931,hba1c,locf
34,NCT01648582,rcs,arm_f=_2_Dulaglutide 0.75 * sex,0.027,0.181,hba1c,locf
34,NCT01648582,rcs,arm_f=_2_Dulaglutide 1.5 * sex,-0.065,0.18,hba1c,locf
34,NCT01558271,rcs,Intercept,2.329,3.065,hba1c,locf
34,NCT01558271,rcs,value_1,0.564,0.042,hba1c,locf
34,NCT01558271,rcs,age10,0.292,0.655,hba1c,locf
34,NCT01558271,rcs,age10',-0.871,2.218,hba1c,locf
34,NCT01558271,rcs,age10'',2.901,5.703,hba1c,locf
34,NCT01558271,rcs,arm_f=_2_Dulaglutide 0.75mg,0.675,3.182,hba1c,locf
34,NCT01558271,rcs,arm_f=_2_Liraglutide 0.3/0.6/0.9mg,3.286,3.473,hba1c,locf
34,NCT01558271,rcs,sex,-0.159,0.221,hba1c,locf
34,NCT01558271,rcs,age10 * arm_f=_2_Dulaglutide 0.75mg,-0.471,0.692,hba1c,locf
34,NCT01558271,rcs,age10' * arm_f=_2_Dulaglutide 0.75mg,0.69,2.375,hba1c,locf
34,NCT01558271,rcs,age10'' * arm_f=_2_Dulaglutide 0.75mg,-1.902,6.144,hba1c,locf
34,NCT01558271,rcs,age10 * arm_f=_2_Liraglutide 0.3/0.6/0.9mg,-1.081,0.758,hba1c,locf
34,NCT01558271,rcs,age10' * arm_f=_2_Liraglutide 0.3/0.6/0.9mg,3.118,2.598,hba1c,locf
34,NCT01558271,rcs,age10'' * arm_f=_2_Liraglutide 0.3/0.6/0.9mg,-8.225,6.67,hba1c,locf
34,NCT01558271,rcs,arm_f=_2_Dulaglutide 0.75mg * sex,0.285,0.25,hba1c,locf
34,NCT01558271,rcs,arm_f=_2_Liraglutide 0.3/0.6/0.9mg * sex,0.515,0.279,hba1c,locf
34,NCT02750410,rcs,Intercept,10.161,3.338,hba1c,locf
34,NCT02750410,rcs,value_1,0.517,0.088,hba1c,locf
34,NCT02750410,rcs,age10,-1.413,0.707,hba1c,locf
34,NCT02750410,rcs,age10',3.301,2.585,hba1c,locf
34,NCT02750410,rcs,age10'',-6.513,6.702,hba1c,locf
34,NCT02750410,rcs,arm_f=_2_Dula 0.75mg,-6.252,3.49,hba1c,locf
34,NCT02750410,rcs,sex,-0.206,0.249,hba1c,locf
34,NCT02750410,rcs,age10 * arm_f=_2_Dula 0.75mg,1.215,0.772,hba1c,locf
34,NCT02750410,rcs,age10' * arm_f=_2_Dula 0.75mg,-3.255,2.865,hba1c,locf
34,NCT02750410,rcs,age10'' * arm_f=_2_Dula 0.75mg,7.036,7.454,hba1c,locf
34,NCT02750410,rcs,arm_f=_2_Dula 0.75mg * sex,0.275,0.29,hba1c,locf
34,NCT01768559,rcs,Intercept,4.265,0.807,hba1c,locf
34,NCT01768559,rcs,value_1,0.441,0.042,hba1c,locf
34,NCT01768559,rcs,age10,-0.128,0.166,hba1c,locf
34,NCT01768559,rcs,age10',0.443,0.576,hba1c,locf
34,NCT01768559,rcs,age10'',-0.988,1.48,hba1c,locf
34,NCT01768559,rcs,arm_f=_2_Lixisenatide,-1.857,1.434,hba1c,locf
34,NCT01768559,rcs,sex,-0.082,0.06,hba1c,locf
34,NCT01768559,rcs,age10 * arm_f=_2_Lixisenatide,0.479,0.312,hba1c,locf
34,NCT01768559,rcs,age10' * arm_f=_2_Lixisenatide,-2.318,1.055,hba1c,locf
34,NCT01768559,rcs,age10'' * arm_f=_2_Lixisenatide,6.172,2.685,hba1c,locf
34,NCT01768559,rcs,arm_f=_2_Lixisenatide * sex,-0.01,0.105,hba1c,locf
34,NCT00975286,rcs,Intercept,2.206,0.768,hba1c,locf
34,NCT00975286,rcs,value_1,0.575,0.055,hba1c,locf
34,NCT00975286,rcs,age10,0.15,0.138,hba1c,locf
34,NCT00975286,rcs,age10',-0.874,0.597,hba1c,locf
34,NCT00975286,rcs,age10'',2.334,1.667,hba1c,locf
34,NCT00975286,rcs,arm_f=_2_GLP1 PLUS INSULIN BASAL,0.055,1.007,hba1c,locf
34,NCT00975286,rcs,sex,0.082,0.084,hba1c,locf
34,NCT00975286,rcs,age10 * arm_f=_2_GLP1 PLUS INSULIN BASAL,-0.099,0.227,hba1c,locf
34,NCT00975286,rcs,age10' * arm_f=_2_GLP1 PLUS INSULIN BASAL,0.587,0.935,hba1c,locf
34,NCT00975286,rcs,age10'' * arm_f=_2_GLP1 PLUS INSULIN BASAL,-1.746,2.565,hba1c,locf
34,NCT00975286,rcs,arm_f=_2_GLP1 PLUS INSULIN BASAL * sex,-0,0.119,hba1c,locf
34,NCT01632007,rcs,Intercept,-2.573,5.24,hba1c,locf
34,NCT01632007,rcs,value_1,0.861,0.047,hba1c,locf
34,NCT01632007,rcs,age10,0.849,1.126,hba1c,locf
34,NCT01632007,rcs,age10',-2.112,3.186,hba1c,locf
34,NCT01632007,rcs,age10'',4.386,7.361,hba1c,locf
34,NCT01632007,rcs,arm_f=_2_Alogliptin,3.305,5.375,hba1c,locf
34,NCT01632007,rcs,arm_f=_2_Trelagliptin,3.547,5.348,hba1c,locf
34,NCT01632007,rcs,sex,-0.121,0.267,hba1c,locf
34,NCT01632007,rcs,age10 * arm_f=_2_Alogliptin,-0.869,1.148,hba1c,locf
34,NCT01632007,rcs,age10' * arm_f=_2_Alogliptin,2.106,3.316,hba1c,locf
34,NCT01632007,rcs,age10'' * arm_f=_2_Alogliptin,-4.28,7.784,hba1c,locf
34,NCT01632007,rcs,age10 * arm_f=_2_Trelagliptin,-0.849,1.145,hba1c,locf
34,NCT01632007,rcs,age10' * arm_f=_2_Trelagliptin,1.577,3.319,hba1c,locf
34,NCT01632007,rcs,age10'' * arm_f=_2_Trelagliptin,-2.792,7.796,hba1c,locf
34,NCT01632007,rcs,arm_f=_2_Alogliptin * sex,0.121,0.307,hba1c,locf
34,NCT01632007,rcs,arm_f=_2_Trelagliptin * sex,-0.004,0.302,hba1c,locf
34,NCT01619059,rcs,Intercept,1.222,1.297,hba1c,locf
34,NCT01619059,rcs,value_1,0.782,0.051,hba1c,locf
34,NCT01619059,rcs,age10,0.041,0.271,hba1c,locf
34,NCT01619059,rcs,age10',-0.162,1.006,hba1c,locf
34,NCT01619059,rcs,age10'',0.811,2.72,hba1c,locf
34,NCT01619059,rcs,arm_f=_2_SAXA PLUS DAPA PLUS MET,0.094,1.56,hba1c,locf
34,NCT01619059,rcs,sex,0.092,0.124,hba1c,locf
34,NCT01619059,rcs,age10 * arm_f=_2_SAXA PLUS DAPA PLUS MET,-0.096,0.349,hba1c,locf
34,NCT01619059,rcs,age10' * arm_f=_2_SAXA PLUS DAPA PLUS MET,0.611,1.403,hba1c,locf
34,NCT01619059,rcs,age10'' * arm_f=_2_SAXA PLUS DAPA PLUS MET,-2.346,3.866,hba1c,locf
34,NCT01619059,rcs,arm_f=_2_SAXA PLUS DAPA PLUS MET * sex,-0.04,0.178,hba1c,locf
