nct_id,old_term,new_term
NCT00688701,sex:age10:arm_f_2_Lixisenatide 1-step titration,sex:age10:arm_f_2_uaa10304a
NCT00688701,age10' * arm_f=_2_Lixisenatide 1-step titration,age10' * arm_f=_2_uaa10304a
NCT00688701,sex:age10:arm_f_2_Lixisenatide 2-step titration,sex:age10:arm_f_2_uaa10304b
NCT00688701,age10' * arm_f=_2_Lixisenatide 2-step titration,age10' * arm_f=_2_uaa10304b
NCT00707031,age10'' * arm_f=_2_Lixisenatide QD,age10'' * arm_f=_2_uaa10318
NCT01648582,age10'' * arm_f=_2_Dulaglutide 0.75,age10'' * arm_f=_2_uaa10839
NCT01648582,age10'' * arm_f=_2_Dulaglutide 1.5,age10'' * arm_f=_2_uaa10840
NCT01558271,age10'' * arm_f=_2_Dulaglutide 0.75mg,age10'' * arm_f=_2_uaa10796
NCT01558271,age10'' * arm_f=_2_Liraglutide 0.3/0.6/0.9mg,age10'' * arm_f=_2_uaa10797
NCT02750410,age10'' * arm_f=_2_Dula 0.75mg,age10'' * arm_f=_2_uaa11218
NCT01768559,age10'' * arm_f=_2_Lixisenatide,age10'' * arm_f=_2_uaa10917
NCT00975286,age10'' * arm_f=_2_GLP1 PLUS INSULIN BASAL,age10'' * arm_f=_2_uaa10464
NCT01619059,age10'' * arm_f=_2_SAXA PLUS DAPA PLUS MET,age10'' * arm_f=_2_uaa10820
NCT00819091,age10''' * arm_f=_2_Linagliptin,age10''' * arm_f=_2_uaa10374
NCT00800683,age10''' * arm_f=_2_Placebo,age10''' * arm_f=_2_uaa10369
NCT00740051,age10''' * arm_f=_2_Linagliptin,age10''' * arm_f=_2_uaa10340
NCT00996658,age10''' * arm_f=_2_Linagliptin,age10''' * arm_f=_2_uaa10476
NCT01084005,age10''' * arm_f=_2_Linagliptin,age10''' * arm_f=_2_uaa10552
NCT01087502,age10''' * arm_f=_2_Linagliptin,age10''' * arm_f=_2_uaa10555
NCT01194830,age10''' * arm_f=_2_Linagliptin,age10''' * arm_f=_2_uaa10671
NCT02182830,age10''' * arm_f=_2_Empagliflozin 10-25mg,age10''' * arm_f=_2_uaa11066
NCT00763451,age10'' * arm_f=_2_Lixisenatide 1-step titration,age10'' * arm_f=_2_uaa10349a
NCT00763451,age10'' * arm_f=_2_Lixisenatide 2-step titration,age10'' * arm_f=_2_uaa10349b
NCT00976937,age10''' * arm_f=_2_Lixisenatide,age10''' * arm_f=_2_uaa10470
NCT00866658,age10''' * arm_f=_2_Lixisenatide 2-step titration,age10''' * arm_f=_2_uaa10411
NCT01169779,age10''' * arm_f=_2_Lixisenatide,age10''' * arm_f=_2_uaa10638
NCT01798706,age10''' * arm_f=_2_Lixisenatide,age10''' * arm_f=_2_uaa10930
NCT00712673,age10'' * arm_f=_2_Lixisenatide evening,age10'' * arm_f=_2_uaa10323b
NCT00712673,age10'' * arm_f=_2_Lixisenatide morning,age10'' * arm_f=_2_uaa10323a
NCT00713830,age10''' * arm_f=_2_Lixisenatide,age10''' * arm_f=_2_uaa10326
NCT00715624,age10''' * arm_f=_2_Lixisenatide,age10''' * arm_f=_2_uaa10329
NCT00763815,age10''' * arm_f=_2_Lixisenatide,age10''' * arm_f=_2_uaa10352
NCT00688701,age10'' * arm_f=_2_Lixisenatide 1-step titration,age10'' * arm_f=_2_uaa10304a
NCT00688701,age10'' * arm_f=_2_Lixisenatide 2-step titration,age10'' * arm_f=_2_uaa10304b
NCT00707031,age10''' * arm_f=_2_Lixisenatide QD,age10''' * arm_f=_2_uaa10318
NCT01648582,age10''' * arm_f=_2_Dulaglutide 0.75,age10''' * arm_f=_2_uaa10839
NCT01648582,age10''' * arm_f=_2_Dulaglutide 1.5,age10''' * arm_f=_2_uaa10840
NCT01558271,age10''' * arm_f=_2_Dulaglutide 0.75mg,age10''' * arm_f=_2_uaa10796
NCT01558271,age10''' * arm_f=_2_Liraglutide 0.3/0.6/0.9mg,age10''' * arm_f=_2_uaa10797
NCT02750410,age10''' * arm_f=_2_Dula 0.75mg,age10''' * arm_f=_2_uaa11218
NCT01768559,age10''' * arm_f=_2_Lixisenatide,age10''' * arm_f=_2_uaa10917
NCT00975286,age10''' * arm_f=_2_GLP1 PLUS INSULIN BASAL,age10''' * arm_f=_2_uaa10464
NCT01619059,age10''' * arm_f=_2_SAXA PLUS DAPA PLUS MET,age10''' * arm_f=_2_uaa10820
NCT00763451,age10''' * arm_f=_2_Lixisenatide 1-step titration,age10''' * arm_f=_2_uaa10349a
NCT00763451,age10''' * arm_f=_2_Lixisenatide 2-step titration,age10''' * arm_f=_2_uaa10349b
NCT00712673,age10''' * arm_f=_2_Lixisenatide evening,age10''' * arm_f=_2_uaa10323b
NCT00712673,age10''' * arm_f=_2_Lixisenatide morning,age10''' * arm_f=_2_uaa10323a
NCT00688701,age10''' * arm_f=_2_Lixisenatide 1-step titration,age10''' * arm_f=_2_uaa10304a
NCT00688701,age10''' * arm_f=_2_Lixisenatide 2-step titration,age10''' * arm_f=_2_uaa10304b
NCT02453555,arm_f_2_Empagliflozin 10mg + Linagliptin 5mg,arm_f_2_uaa11132
NCT02453555,arm_f=_2_Empagliflozin 10mg + Linagliptin 5mg,arm_f=_2_uaa11132
NCT02453555,sex:arm_f_2_Empagliflozin 10mg + Linagliptin 5mg,sex:arm_f_2_uaa11132
NCT02453555,arm_f_2_Empagliflozin 10mg + Linagliptin 5mg:sex,arm_f_2_uaa11132:sex
NCT02453555,age10:arm_f_2_Empagliflozin 10mg + Linagliptin 5mg,age10:arm_f_2_uaa11132
NCT02453555,arm_f=_2_Empagliflozin 10mg + Linagliptin 5mg * sex,arm_f=_2_uaa11132 * sex
NCT02453555,age10 * arm_f=_2_Empagliflozin 10mg + Linagliptin 5mg,age10 * arm_f=_2_uaa11132
NCT02453555,sex:age10:arm_f_2_Empagliflozin 10mg + Linagliptin 5mg,sex:age10:arm_f_2_uaa11132
NCT02453555,age10' * arm_f=_2_Empagliflozin 10mg + Linagliptin 5mg,age10' * arm_f=_2_uaa11132
NCT02453555,age10'' * arm_f=_2_Empagliflozin 10mg + Linagliptin 5mg,age10'' * arm_f=_2_uaa11132
NCT02453555,age10''' * arm_f=_2_Empagliflozin 10mg + Linagliptin 5mg,age10''' * arm_f=_2_uaa11132
