trial_id,arm_id_unq,arm_id_subgroup,arm_id,ctgov_group_code,arm_label,drug_name,drug_dose,drug_unit,drug_freq,drug2_name,drug2_dose,drug2_unit,drug2_freq,result_group_id,design_group_id,note,n_rand,subgroup_name,subgroup_name2,source
NCT00683878,uaa10303,NA,aa0447,BG003,total,NA,NA,NA,NA,NA,NA,NA,NA,9700876,NA,NA,NA,NA,NA,NA
NCT00688701,uaa10305,NA,aa0449|aa0452|aa0453|aa0456|aa0457,BG000|EG002|OG000|EG001|FG001|EG000|FG000,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9702058|9702066|9702071|9702070|9702063|9702069|9702062,NA,combo of one and two step titration|one step uptitration|one step uptitration|standardised uptitration to this dose|standardised uptitration to this dose,NA,NA,NA,NA
NCT00688701,uaa10306,NA,aa0458,BG003,total,NA,NA,NA,NA,NA,NA,NA,NA,9702061,NA,NA,NA,NA,NA,NA
NCT00688701,uaa10304,uaa10304a,aa0448|aa0450|aa0451|aa0454|aa0455,EG005|EG004|OG002|BG002|FG003|EG003|OG001|BG001|FG002,lixisenatide,lixisenatide,20,microgram,od,NA,NA,NA,NA,9702074|9702068|9702073|9702060|9702065|9702067|9702072|9702059|9702064,NA,combo of one and two step titration|one step uptitration|one step uptitration|standardised uptitration to this dose|standardised uptitration to this dose,NA,1 step titration,NA,NA
NCT00688701,uaa10304,uaa10304b,aa0448|aa0450|aa0451|aa0454|aa0455,EG005|EG004|OG002|BG002|FG003|EG003|OG001|BG001|FG002,lixisenatide,lixisenatide,20,microgram,od,NA,NA,NA,NA,9702074|9702068|9702073|9702060|9702065|9702067|9702072|9702059|9702064,NA,combo of one and two step titration|one step uptitration|one step uptitration|standardised uptitration to this dose|standardised uptitration to this dose,NA,2 step titration,NA,NA
NCT00690638,ab0057,NA,ab0057,NA,dutogliptin,dutogliptin,200,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00690638,ab0058,NA,ab0058,NA,dutogliptin,dutogliptin,400,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00690638,ab0059,NA,ab0059,NA,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00698932,uaa10307,NA,aa0459,BG001|EG001|FG001|OG001,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9703768|9703771|9703773|9703775,NA,NA,NA,NA,NA,NA
NCT00698932,uaa10308,NA,aa0460,BG000|EG000|FG000|OG000,saxagliptin,saxagliptin,5,milligram,od,NA,NA,NA,NA,9703767|9703770|9703772|9703774,NA,NA,NA,NA,NA,NA
NCT00698932,uaa10309,NA,aa0461,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9703769,NA,NA,NA,NA,NA,NA
NCT00700817,uaa10310,NA,aa0462,BG000|EG000|FG000|OG000,liraglutide,liraglutide,1.2,milligram,od,NA,NA,NA,NA,9704231|9704237|9704242|9704247,NA,phase a up to 26 weeks only,NA,NA,NA,NA
NCT00700817,uaa10311,NA,aa0463,BG001|EG001|FG001|OG001,liraglutide,liraglutide,1.8,milligram,od,NA,NA,NA,NA,9704232|9704238|9704243|9704248,NA,phase a up to 26 weeks only,NA,NA,NA,NA
NCT00700817,uaa10312,NA,aa0464|aa0465|aa0466,BG002|EG002|FG002|OG002|BG003|FG003|OG003|BG004|FG004|OG004,sitagliptin,sitagliptin,100,milligram,od,NA,NA,NA,NA,9704233|9704239|9704244|9704249|9704234|9704240|9704245|9704235|9704241|9704246,NA,phase a up to 26 weeks only|phase a up to 26 weeks only|phase a up to 26 weeks only,NA,NA,NA,NA
NCT00700817,uaa10313,NA,aa0467,BG005,total,NA,NA,NA,NA,NA,NA,NA,NA,9704236,NA,NA,NA,NA,NA,NA
NCT00701090,uaa10314,NA,aa0468,BG001|EG001|FG001|OG001,glimepiride,glimepiride,1,milligram,od,NA,NA,NA,NA,9704301|9704304|9704306|9704308,NA,uptitration up to 6mg allowed,NA,NA,NA,NA
NCT00701090,uaa10315,NA,aa0469,BG000|EG000|FG000|OG000,sitagliptin,sitagliptin,100,milligram,od,NA,NA,NA,NA,9704300|9704303|9704305|9704307,NA,NA,NA,NA,NA,NA
NCT00701090,uaa10316,NA,aa0470,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9704302,NA,NA,NA,NA,NA,NA
NCT00707031,uaa10317,NA,aa0471|aa0472|aa0473|aa0474,EG001|OG001|BG001|FG001|OG001,exenatide,exenatide,10,microgram,bd,NA,NA,NA,NA,9705808|9705811|9705803|9705806|9705809,NA,one step uptitration|one step uptitration|one step uptitration|standardised uptitration to this dose,NA,NA,NA,NA
NCT00707031,uaa10318,NA,aa0475|aa0476|aa0477,EG000|OG000|BG000|FG000,lixisenatide,lixisenatide,20,microgram,od,NA,NA,NA,NA,9705807|9705810|9705802|9705805,NA,standardised uptitration to this dose|standardised uptitration to this dose|standardised uptitration to this dose,NA,NA,NA,NA
NCT00707031,uaa10319,NA,aa0478,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9705804,NA,NA,NA,NA,NA,NA
NCT00707993,uaa10320,NA,aa0479,BG000|EG000|FG000|OG000,alogliptin,alogliptin,25,milligram,od,NA,NA,NA,NA,9705954|9705957|9705959|9705961,NA,NA,NA,NA,NA,NA
NCT00707993,uaa10321,NA,aa0480,BG001|EG001|FG001|OG001,glipizide,glipizide,5,milligram,od,NA,NA,NA,NA,9705955|9705958|9705960|9705962,NA,NA,NA,NA,NA,NA
NCT00707993,uaa10322,NA,aa0481,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9705956,NA,NA,NA,NA,NA,NA
NCT00712673,uaa10324,NA,aa0484|aa0485|aa0488|aa0489|aa0492|aa0493|aa0494,OG000|EG000|OG000|BG000|EG002|OG000|OG000|OG002|EG001|OG001|FG001|FG000,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9707136|9707138|9707144|9707125|9707133|9707146|9707137|9707140|9707139|9707145|9707130|9707129,NA,am dosing|am dosing|either am or pm|either am or pm|pm dosing|pm dosing|NA,NA,NA,NA,NA
NCT00712673,uaa10325,NA,aa0495,BG003,total,NA,NA,NA,NA,NA,NA,NA,NA,9707128,NA,NA,NA,NA,NA,NA
NCT00712673,uaa10323,uaa10323a,aa0482|aa0483|aa0486|aa0487|aa0490|aa0491,EG003|OG001|OG003|BG001|FG002|EG005|OG005|EG004|OG002|OG004|BG002|FG003,lixisenatide,lixisenatide,20,microgram,od,NA,NA,NA,NA,9707134|9707141|9707147|9707126|9707131|9707149|9707143|9707135|9707142|9707148|9707127|9707132,NA,am dosing|am dosing|either am or pm|either am or pm|pm dosing|pm dosing,NA,am dosing,NA,NA
NCT00712673,uaa10323,uaa10323b,aa0482|aa0483|aa0486|aa0487|aa0490|aa0491,EG003|OG001|OG003|BG001|FG002|EG005|OG005|EG004|OG002|OG004|BG002|FG003,lixisenatide,lixisenatide,20,microgram,od,NA,NA,NA,NA,9707134|9707141|9707147|9707126|9707131|9707149|9707143|9707135|9707142|9707148|9707127|9707132,NA,am dosing|am dosing|either am or pm|either am or pm|pm dosing|pm dosing,NA,pm dosing,NA,NA
NCT00713830,uaa10326,NA,aa0496|aa0497,EG001|OG001|BG001|FG001,lixisenatide,lixisenatide,20,microgram,od,NA,NA,NA,NA,9707352|9707354|9707347|9707350,NA,NA|NA,NA,NA,NA,NA
NCT00713830,uaa10327,NA,aa0498|aa0499|aa0500,EG000|OG000|BG000|FG000,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9707351|9707353|9707346|9707349,NA,NA|NA|NA,NA,NA,NA,NA
NCT00713830,uaa10328,NA,aa0501,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9707348,NA,NA,NA,NA,NA,NA
NCT00715624,uaa10329,NA,aa0502|aa0503,EG001|OG001|BG001|FG001,lixisenatide,lixisenatide,20,microgram,od,NA,NA,NA,NA,9707675|9707677|9707670|9707673,NA,NA|NA,NA,NA,NA,NA
NCT00715624,uaa10330,NA,aa0504|aa0505|aa0506,EG000|OG000|BG000|FG000,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9707674|9707676|9707669|9707672,NA,NA|NA|NA,NA,NA,NA,NA
NCT00715624,uaa10331,NA,aa0507,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9707671,NA,NA,NA,NA,NA,NA
NCT00717457,ab0060,NA,ab0060,NA,exenatide,exenatide,5,microgram,bd,NA,NA,NA,NA,NA,NA,standardised uptitration,NA,NA,NA,NA
NCT00717457,ab0061,NA,ab0061,NA,taspoglutide,taspoglutide,10,mg,weekly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00717457,ab0062,NA,ab0062,NA,taspoglutide,taspoglutide,20,mg,weekly,NA,NA,NA,NA,NA,NA,standardised uptitration,NA,NA,NA,NA
NCT00722371,uaa10332,NA,aa0508,BG001|EG001|FG001|OG001,pioglitazone,pioglitazone,15,milligram,od,NA,NA,NA,NA,9709189|9709197|9709204|9709211,NA,NA,NA,NA,NA,NA
NCT00722371,uaa10333,NA,aa0509,BG002|EG002|FG002|OG002,pioglitazone,pioglitazone,30,milligram,od,NA,NA,NA,NA,9709190|9709198|9709205|9709212,NA,NA,NA,NA,NA,NA
NCT00722371,uaa10334,NA,aa0510,BG003|EG003|FG003|OG003,pioglitazone,pioglitazone,45,milligram,od,NA,NA,NA,NA,9709191|9709199|9709206|9709213,NA,NA,NA,NA,NA,NA
NCT00722371,uaa10335,NA,aa0512,BG004|EG004|FG004|OG004,sitagliptin_pioglitazone,sitagliptin,100,milligram,od,pioglitazone,15,milligram,od,9709192|9709200|9709207|9709214,NA,NA,NA,NA,NA,NA
NCT00722371,uaa10336,NA,aa0513,BG005|EG005|FG005|OG005,sitagliptin_pioglitazone,sitagliptin,100,milligram,od,pioglitazone,30,milligram,od,9709193|9709201|9709208|9709215,NA,NA,NA,NA,NA,NA
NCT00722371,uaa10337,NA,aa0514,BG006|EG006|FG006|OG006,sitagliptin_pioglitazone,sitagliptin,100,milligram,od,pioglitazone,45,milligram,od,9709194|9709202|9709209|9709216,NA,NA,NA,NA,NA,NA
NCT00722371,uaa10338,NA,aa0511,BG000|EG000|FG000|OG000,sitagliptin,sitagliptin,100,milligram,od,NA,NA,NA,NA,9709188|9709196|9709203|9709210,NA,NA,NA,NA,NA,NA
NCT00722371,uaa10339,NA,aa0515,BG007,total,NA,NA,NA,NA,NA,NA,NA,NA,9709195,NA,NA,NA,NA,NA,NA
NCT00728351,ab0063,NA,ab0063,NA,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00728351,ab0064,NA,ab0064,NA,vildagliptin,vildagliptin,25,mg,bd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00740051,uaa10340,NA,aa0516,BG001|EG001|FG001|OG001,linagliptin,linagliptin,5,milligram,od,NA,NA,NA,NA,9712674|9712677|9712679|9712682,NA,phase a up to 18 weeks only,NA,NA,NA,NA
NCT00740051,uaa10341,NA,aa0517|aa0518,OG000|BG000|EG000|FG000|OG000,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9712678|9712673|9712676|9712680|9712681,NA,phase a up to 18 weeks only|phase a up to 18 weeks only,NA,NA,NA,NA
NCT00740051,uaa10342,NA,aa0519,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9712675,NA,phase a up to 18 weeks only,NA,NA,NA,NA
NCT00744367,ab0065,NA,ab0065,NA,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,up until week 24,NA,NA,NA,NA
NCT00744367,ab0066,NA,ab0066,NA,taspoglutide,taspoglutide,10,mg,weekly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00744367,ab0067,NA,ab0067,NA,taspoglutide,taspoglutide,20,mg,weekly,NA,NA,NA,NA,NA,NA,standardised uptitration,NA,NA,NA,NA
NCT00744926,ab0068,NA,ab0068,NA,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00744926,ab0069,NA,ab0069,NA,taspoglutide,taspoglutide,10,mg,weekly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00744926,ab0070,NA,ab0070,NA,taspoglutide,taspoglutide,20,mg,weekly,NA,NA,NA,NA,NA,NA,standardised uptitration,NA,NA,NA,NA
NCT00751114,uaa10343,NA,aa0520|aa0521,FG000|BG000|EG000|OG000,insulin_glargine,insulin glargine,as per bm,units,NA,NA,NA,NA,NA,9714778|9714775|9714780|9714782,NA,NA|NA,NA,NA,NA,NA
NCT00751114,uaa10344,NA,aa0522,BG001|EG001|FG001|OG001,sitagliptin,sitagliptin,100,milligram,od,NA,NA,NA,NA,9714776|9714779|9714781|9714783,NA,NA,NA,NA,NA,NA
NCT00751114,uaa10345,NA,aa0523,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9714777,NA,NA,NA,NA,NA,NA
NCT00754988,ab0071,NA,ab0071,NA,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00754988,ab0072,NA,ab0072,NA,sitagliptin,sitagliptin,100,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00754988,ab0073,NA,ab0073,NA,taspoglutide,taspoglutide,10,mg,weekly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00754988,ab0074,NA,ab0074,NA,taspoglutide,taspoglutide,20,mg,weekly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00755287,ab0075,NA,ab0075,NA,insulin_glargine,insulin_glargine,10,units,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00755287,ab0076,NA,ab0076,NA,taspoglutide,taspoglutide,10,mg,weekly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00755287,ab0077,NA,ab0077,NA,taspoglutide,taspoglutide,20,mg,weekly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00757588,uaa10346,NA,aa0524,BG001|EG000|FG001|OG001,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9715886|9715889|9715891|9715892,NA,NA,NA,NA,NA,NA
NCT00757588,uaa10347,NA,aa0525,BG000|EG001|FG000|OG000,saxagliptin,saxagliptin,5,milligram,od,NA,NA,NA,NA,9715885|9715888|9715890|9715893,NA,NA,NA,NA,NA,NA
NCT00757588,uaa10348,NA,aa0526,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9715887,NA,NA,NA,NA,NA,NA
NCT00763451,uaa10350,NA,aa0528|aa0533|aa0534|aa0535|aa0540|aa0541|aa0542,EG002|OG000|EG001|BG001|FG001|EG000|BG000|FG000,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9717710|9717715|9717714|9717702|9717707|9717713|9717701|9717706,NA,either one or two step uptitration|one step uptitration|one step uptitration|one step uptitration|standardised uptitration to this dose|standardised uptitration to this dose|standardised uptitration to this dose,NA,NA,NA,NA
NCT00763451,uaa10351,NA,aa0543,BG004,total,NA,NA,NA,NA,NA,NA,NA,NA,9717705,NA,NA,NA,NA,NA,NA
NCT00763451,uaa10349,uaa10349a,aa0527|aa0529|aa0530|aa0531|aa0532|aa0536|aa0537|aa0538|aa0539,EG005|BG003|OG002|FG003|EG004|EG003|BG002|OG001|FG002,lixisenatide,lixisenatide,20,microgram,od,NA,NA,NA,NA,9717718|9717704|9717712|9717709|9717717|9717716|9717703|9717711|9717708,NA,either one or two step uptitration|one step uptitration|one step uptitration|one step uptitration|one step uptitration|standardised uptitration to this dose|standardised uptitration to this dose|standardised uptitration to this dose|standardised uptitration to this dose,NA,1 step titration,NA,NA
NCT00763451,uaa10349,uaa10349b,aa0527|aa0529|aa0530|aa0531|aa0532|aa0536|aa0537|aa0538|aa0539,EG005|BG003|OG002|FG003|EG004|EG003|BG002|OG001|FG002,lixisenatide,lixisenatide,20,microgram,od,NA,NA,NA,NA,9717718|9717704|9717712|9717709|9717717|9717716|9717703|9717711|9717708,NA,either one or two step uptitration|one step uptitration|one step uptitration|one step uptitration|one step uptitration|standardised uptitration to this dose|standardised uptitration to this dose|standardised uptitration to this dose|standardised uptitration to this dose,NA,2 step titration,NA,NA
NCT00763815,uaa10352,NA,aa0544|aa0545|aa0546,EG001|OG001|BG001|FG001,lixisenatide,lixisenatide,20,microgram,od,NA,NA,NA,NA,9717738|9717740|9717733|9717736,NA,NA|NA|NA,NA,NA,NA,NA
NCT00763815,uaa10353,NA,aa0547|aa0548|aa0549,EG000|OG000|BG000|FG000,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9717737|9717739|9717732|9717735,NA,NA|NA|NA,NA,NA,NA,NA
NCT00763815,uaa10354,NA,aa0550,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9717734,NA,NA,NA,NA,NA,NA
NCT00765817,uaa10355,NA,aa0551,BG000|EG000|FG000|OG000,exenatide,exenatide,10,microgram,bd,NA,NA,NA,NA,9718099|9718102|9718104|9718106,NA,NA,NA,NA,NA,NA
NCT00765817,uaa10356,NA,aa0552,BG001|EG001|FG001|OG001,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9718100|9718103|9718105|9718107,NA,NA,NA,NA,NA,NA
NCT00765817,uaa10357,NA,aa0553,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9718101,NA,NA,NA,NA,NA,NA
NCT00765830,ab0078,ab0078a,ab0078,NA,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,moderate ri,NA,NA
NCT00765830,ab0078,ab0078b,ab0078,NA,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,severe ri,NA,NA
NCT00765830,ab0079,ab0079a,ab0079,NA,vildagliptin,vildagliptin,50,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,moderate ri,moderate ri,NA
NCT00765830,ab0079,ab0079b,ab0079,NA,vildagliptin,vildagliptin,50,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,severe ri,severe ri,NA
NCT00770081,ab0080,NA,ab0080,NA,sitagliptin,sitagliptin,25,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00770081,ab0081,NA,ab0081,NA,vildagliptin,vildagliptin,50,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00790205,uaa10358,NA,aa0555,BG001|EG001|FG001|OG001,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9722998|9723001|9723003|9723005,NA,NA,NA,NA,NA,NA
NCT00790205,uaa10359,NA,aa0554,BG000|EG000|FG000|OG000,sitagliptin,sitagliptin,100,milligram,od,NA,NA,NA,NA,9722997|9723000|9723002|9723004,NA,dose reduced as required for renal function,NA,NA,NA,NA
NCT00790205,uaa10360,NA,aa0556,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9722999,NA,NA,NA,NA,NA,NA
NCT00798161,uaa10361,NA,aa0561|aa0562,EG003|FG003|BG003|OG003,linagliptin,linagliptin,5,milligram,od,NA,NA,NA,NA,9724748|9724762|9724740|9724755,NA,NA|NA,NA,NA,NA,NA
NCT00798161,uaa10362,NA,aa0557|aa0558|aa0559|aa0560|aa0566|aa0567|aa0568,BG006|FG006|EG006|OG000|FG005|EG005|BG005|OG005,linagliptin_metformin,linagliptin,2.5,milligram,od,metformin,1000,milligram,bd,9724743|9724751|9724765|9724758|9724750|9724764|9724742|9724757,NA,open label cohort|open label cohort|open label cohort|open label cohort|NA|NA|NA,NA,NA,NA,NA
NCT00798161,uaa10363,NA,aa0563|aa0564|aa0565,FG004|EG004|BG004|OG004,linagliptin_metformin,linagliptin,2.5,milligram,od,metformin,500,milligram,bd,9724749|9724763|9724741|9724756,NA,NA|NA|NA,NA,NA,NA,NA
NCT00798161,uaa10364,NA,aa0572|aa0573|aa0574,FG002|EG002|BG002|OG002,metformin,metformin,1000,milligram,bd,NA,NA,NA,NA,9724747|9724761|9724739|9724754,NA,NA|NA|NA,NA,NA,NA,NA
NCT00798161,uaa10365,NA,aa0569|aa0570|aa0571,EG001|FG001|BG001|OG001,metformin,metformin,500,milligram,bd,NA,NA,NA,NA,9724760|9724746|9724738|9724753,NA,NA|NA|NA,NA,NA,NA,NA
NCT00798161,uaa10366,NA,aa0575,BG000|EG000|FG000|OG000,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9724737|9724745|9724752|9724759,NA,NA,NA,NA,NA,NA
NCT00798161,uaa10367,NA,aa0576,BG007,total,NA,NA,NA,NA,NA,NA,NA,NA,9724744,NA,NA,NA,NA,NA,NA
NCT00800683,uaa10368,NA,aa0577,BG001|EG001|FG001|OG001,linagliptin,linagliptin,5,milligram,od,NA,NA,NA,NA,9725165|9725168|9725170|9725172,NA,NA,NA,NA,NA,NA
NCT00800683,uaa10369,NA,aa0578,BG000|EG000|FG000|OG000,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9725164|9725167|9725169|9725171,NA,NA,NA,NA,NA,NA
NCT00800683,uaa10370,NA,aa0579,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9725166,NA,NA,NA,NA,NA,NA
NCT00813995,uaa10371,NA,aa0580|aa0581|aa0582|aa0583,OG001|OG001|BG001|FG001|OG001|EG001,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9728163|9728165|9728156|9728159|9728161|9728167,NA,all arms have metformin but some 1000mg and some 1700mg|all arms have metformin but some 1000mg and some 1700mg|all arms have metformin but some 1000mg and some 1700mg|all arms have metformin but some 1000mg and some 1700mg,NA,NA,NA,NA
NCT00813995,uaa10372,NA,aa0584|aa0585|aa0586|aa0587,OG000|OG000|BG000|FG000|OG000|EG000,sitagliptin,sitagliptin,100,milligram,od,NA,NA,NA,NA,9728162|9728164|9728155|9728158|9728160|9728166,NA,all arms have metformin but some 1000mg and some 1700mg|all arms have metformin but some 1000mg and some 1700mg|all arms have metformin but some 1000mg and some 1700mg|all arms have metformin but some 1000mg and some 1700mg,NA,NA,NA,NA
NCT00813995,uaa10373,NA,aa0588,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9728157,NA,all arms have metformin but some 1000mg and some 1700mg,NA,NA,NA,NA
NCT00819091,uaa10374,NA,aa0589|aa0590,FG001|BG001|EG001|OG001,linagliptin,linagliptin,5,milligram,od,NA,NA,NA,NA,9729168|9729165|9729170|9729172,NA,NA|NA,NA,NA,NA,NA
NCT00819091,uaa10375,NA,aa0591,BG000|EG000|FG000|OG000,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9729164|9729167|9729169|9729171,NA,NA,NA,NA,NA,NA
NCT00819091,uaa10376,NA,aa0592,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9729166,NA,NA,NA,NA,NA,NA
NCT00822211,ab0082,NA,ab0082,NA,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00822211,ab0083,NA,ab0083,NA,vildagliptin,vildagliptin,50,mg,bd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00822211,ab0084,NA,ab0084,NA,vildagliptin,vildagliptin,50,mg,od,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00823992,ab0085,NA,ab0085,NA,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00823992,ab0086,NA,ab0086,NA,taspoglutide,taspoglutide,20,mg,weekly,NA,NA,NA,NA,NA,NA,standardised uptitration,NA,NA,NA,NA
NCT00837577,uaa10377,NA,aa0593,EG002,ignore_pooled,NA,NA,NA,NA,NA,NA,NA,NA,9733102,NA,phase a up to 12 weeks only,NA,NA,NA,NA
NCT00837577,uaa10378,NA,aa0594|aa0595,BG001|FG001|OG001|EG001,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9733094|9733097|9733099|9733101,NA,phase a up to 12 weeks only|phase a up to 12 weeks only,NA,NA,NA,NA
NCT00837577,uaa10379,NA,aa0596|aa0597,BG000|FG000|OG000|EG000,sitagliptin,sitagliptin,50,milligram,od,NA,NA,NA,NA,9733093|9733096|9733098|9733100,NA,phase a up to 12 weeks only|phase a up to 12 weeks only,NA,NA,NA,NA
NCT00837577,uaa10380,NA,aa0598,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9733095,NA,phase a up to 12 weeks only,NA,NA,NA,NA
NCT00838903,uaa10381,NA,aa0600,BG003|EG003|FG003|OG003,albiglutide,albiglutide,30,milligram,weekly,NA,NA,NA,NA,9733404|9733409|9733413|9733417,NA,uptitration up to 50mg allowed,NA,NA,NA,NA
NCT00838903,uaa10382,NA,aa0599,BG002|EG002|FG002|OG002,glimepiride,glimepiride,2,milligram,od,NA,NA,NA,NA,9733403|9733408|9733412|9733416,NA,glim uptitrated as tolerated,NA,NA,NA,NA
NCT00838903,uaa10383,NA,aa0601,BG000|EG000|FG000|OG000,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9733401|9733406|9733410|9733414,NA,NA,NA,NA,NA,NA
NCT00838903,uaa10384,NA,aa0602,BG001|EG001|FG001|OG001,sitagliptin,sitagliptin,100,milligram,od,NA,NA,NA,NA,9733402|9733407|9733411|9733415,NA,NA,NA,NA,NA,NA
NCT00838903,uaa10385,NA,aa0603,BG004,total,NA,NA,NA,NA,NA,NA,NA,NA,9733405,NA,NA,NA,NA,NA,NA
NCT00838916,uaa10386,NA,aa0604,BG000|EG000|FG000|OG000,albiglutide,albiglutide,30,milligram,weekly,NA,NA,NA,NA,9733418|9733421|9733423|9733425,NA,uptitration up to 50mg allowed,NA,NA,NA,NA
NCT00838916,uaa10387,NA,aa0605,BG001|EG001|FG001|OG001,insulin_glargine,insulin glargine,10,units,od,NA,NA,NA,NA,9733419|9733422|9733424|9733426,NA,NA,NA,NA,NA,NA
NCT00838916,uaa10388,NA,aa0606,BG002,total,NA,NA,NA,NA,NA,NA,NA,NA,9733420,NA,NA,NA,NA,NA,NA
NCT00839527,uaa10389,NA,aa0609|aa0610,OG002|BG002|EG002|FG002|OG002,albiglutide,albiglutide,30,milligram,weekly,NA,NA,NA,NA,9733617|9733608|9733612|9733615|9733620,NA,uptitration up to 50mg allowed|uptitration up to 50mg allowed,NA,NA,NA,NA
NCT00839527,uaa10390,NA,aa0607|aa0608,OG001|BG001|EG001|FG001|OG001,pioglitazone,pioglitazone,30,milligram,od,NA,NA,NA,NA,9733616|9733607|9733611|9733614|9733619,NA,uptitration to 45mg allowed|uptitration to 45mg allowed,NA,NA,NA,NA
NCT00839527,uaa10391,NA,aa0611,BG000|EG000|FG000|OG000,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9733606|9733610|9733613|9733618,NA,NA,NA,NA,NA,NA
NCT00839527,uaa10392,NA,aa0612,BG003,total,NA,NA,NA,NA,NA,NA,NA,NA,9733609,NA,NA,NA,NA,NA,NA
NCT00849017,uaa10393,NA,aa0613|aa0614,BG001|EG001|FG001|OG000|OG001|OG001,albiglutide,albiglutide,30,milligram,weekly,NA,NA,NA,NA,9735491|9735495|9735498|9735502|9735505|9735500,NA,NA|NA,NA,NA,NA,NA
NCT00849017,uaa10394,NA,aa0615|aa0616,BG002|EG002|FG002|OG001|OG002|OG002,albiglutide,albiglutide,50,milligram,weekly,NA,NA,NA,NA,9735492|9735496|9735499|9735503|9735506|9735501,NA,NA|NA,NA,NA,NA,NA
NCT00849017,uaa10395,NA,aa0617,BG000|EG000|FG000|OG000,placebo,placebo,NA,NA,NA,NA,NA,NA,NA,9735490|9735494|9735497|9735504,NA,NA,NA,NA,NA,NA
