nct_id,nct_id2,outcome,models,term,estimate,std.error,outcome_method
NCT00976391,NCT00976391,ae_gi,glmnb,age10:arm_f_2_uaa10467,-0.502,0.268,incident_event
NCT00976391,NCT00976391,ae_gi,glmnb,arm_f_2_uaa10467:sex,-0.699,0.483,incident_event
NCT00976391,NCT00976391,ae_hypoglycaemia,glm,(Intercept),-5.836,0.603,incident_event
NCT00976391,NCT00976391,ae_hypoglycaemia,glm,age10,0.039,0.104,incident_event
NCT00976391,NCT00976391,ae_hypoglycaemia,glm,arm_f_2_uaa10467,-0.465,0.944,incident_event
NCT00976391,NCT00976391,ae_hypoglycaemia,glm,sex,-0.162,0.184,incident_event
NCT00976391,NCT00976391,ae_hypoglycaemia,glm,age10:arm_f_2_uaa10467,-0.028,0.166,incident_event
NCT00976391,NCT00976391,ae_hypoglycaemia,glm,arm_f_2_uaa10467:sex,0.131,0.296,incident_event
NCT00976391,NCT00976391,ae_hypoglycaemia,glmnb,(Intercept),-5.043,0.792,incident_event
NCT00976391,NCT00976391,ae_hypoglycaemia,glmnb,age10,0.015,0.138,incident_event
NCT00976391,NCT00976391,ae_hypoglycaemia,glmnb,arm_f_2_uaa10467,-1.032,1.158,incident_event
NCT00976391,NCT00976391,ae_hypoglycaemia,glmnb,sex,-0.266,0.243,incident_event
NCT00976391,NCT00976391,ae_hypoglycaemia,glmnb,age10:arm_f_2_uaa10467,0.031,0.203,incident_event
NCT00976391,NCT00976391,ae_hypoglycaemia,glmnb,arm_f_2_uaa10467:sex,0.366,0.362,incident_event
NCT00976391,NCT00976391,ae_sae,glm,(Intercept),-11.025,1.66,incident_event
NCT00976391,NCT00976391,ae_sae,glm,age10,0.552,0.271,incident_event
NCT00976391,NCT00976391,ae_sae,glm,arm_f_2_uaa10467,2.504,2.302,incident_event
NCT00976391,NCT00976391,ae_sae,glm,sex,-0.154,0.475,incident_event
NCT00976391,NCT00976391,ae_sae,glm,age10:arm_f_2_uaa10467,-0.442,0.388,incident_event
NCT00976391,NCT00976391,ae_sae,glm,arm_f_2_uaa10467:sex,0.151,0.68,incident_event
NCT00976391,NCT00976391,ae_sae,glmnb,(Intercept),-11.031,1.661,incident_event
NCT00976391,NCT00976391,ae_sae,glmnb,age10,0.553,0.271,incident_event
NCT00976391,NCT00976391,ae_sae,glmnb,arm_f_2_uaa10467,2.51,2.304,incident_event
NCT00976391,NCT00976391,ae_sae,glmnb,sex,-0.154,0.475,incident_event
NCT00976391,NCT00976391,ae_sae,glmnb,age10:arm_f_2_uaa10467,-0.443,0.388,incident_event
NCT00976391,NCT00976391,ae_sae,glmnb,arm_f_2_uaa10467:sex,0.151,0.68,incident_event
NCT00976391,NCT00976391,ae_uti,glm,(Intercept),-9.366,1.704,incident_event
NCT00976391,NCT00976391,ae_uti,glm,age10,0.345,0.288,incident_event
NCT00976391,NCT00976391,ae_uti,glm,arm_f_2_uaa10467,3.705,2.121,incident_event
NCT00976391,NCT00976391,ae_uti,glm,sex,-2.679,1.033,incident_event
NCT00976391,NCT00976391,ae_uti,glm,age10:arm_f_2_uaa10467,-0.609,0.369,incident_event
NCT00976391,NCT00976391,ae_uti,glm,arm_f_2_uaa10467:sex,1.351,1.15,incident_event
NCT01098539,NCT01098539,ae_gi,glm,(Intercept),-5.714,0.936,incident_event
NCT01098539,NCT01098539,ae_gi,glm,age10,-0.101,0.149,incident_event
NCT01098539,NCT01098539,ae_gi,glm,arm_f_2_uaa10566,1.283,1.345,incident_event
NCT01098539,NCT01098539,ae_gi,glm,sex,-0.363,0.29,incident_event
NCT01098539,NCT01098539,ae_gi,glm,age10:arm_f_2_uaa10566,-0.182,0.215,incident_event
NCT01098539,NCT01098539,ae_gi,glm,arm_f_2_uaa10566:sex,0.233,0.386,incident_event
NCT01098539,NCT01098539,ae_gi,glmnb,(Intercept),-5.124,1.595,incident_event
NCT01098539,NCT01098539,ae_gi,glmnb,age10,0.074,0.25,incident_event
NCT01098539,NCT01098539,ae_gi,glmnb,arm_f_2_uaa10566,3.125,2.318,incident_event
NCT01098539,NCT01098539,ae_gi,glmnb,sex,-0.915,0.455,incident_event
NCT01098539,NCT01098539,ae_gi,glmnb,age10:arm_f_2_uaa10566,-0.44,0.364,incident_event
NCT01098539,NCT01098539,ae_gi,glmnb,arm_f_2_uaa10566:sex,0.584,0.633,incident_event
NCT01098539,NCT01098539,ae_hypoglycaemia,glm,(Intercept),-6.607,1.249,incident_event
NCT01098539,NCT01098539,ae_hypoglycaemia,glm,age10,-0.122,0.198,incident_event
NCT01098539,NCT01098539,ae_hypoglycaemia,glm,arm_f_2_uaa10566,0.554,1.695,incident_event
NCT01098539,NCT01098539,ae_hypoglycaemia,glm,sex,0.517,0.383,incident_event
NCT01098539,NCT01098539,ae_hypoglycaemia,glm,age10:arm_f_2_uaa10566,0.095,0.268,incident_event
NCT01098539,NCT01098539,ae_hypoglycaemia,glm,arm_f_2_uaa10566:sex,-1.191,0.481,incident_event
NCT01098539,NCT01098539,ae_hypoglycaemia,glmnb,(Intercept),-5.549,1.798,incident_event
NCT01098539,NCT01098539,ae_hypoglycaemia,glmnb,age10,-0.202,0.284,incident_event
NCT01098539,NCT01098539,ae_hypoglycaemia,glmnb,arm_f_2_uaa10566,1.832,2.568,incident_event
NCT01098539,NCT01098539,ae_hypoglycaemia,glmnb,sex,1.302,0.526,incident_event
NCT01098539,NCT01098539,ae_hypoglycaemia,glmnb,age10:arm_f_2_uaa10566,0.122,0.404,incident_event
NCT01098539,NCT01098539,ae_hypoglycaemia,glmnb,arm_f_2_uaa10566:sex,-2.879,0.71,incident_event
NCT01098539,NCT01098539,ae_sae,glm,(Intercept),-10.191,2.229,incident_event
NCT01098539,NCT01098539,ae_sae,glm,age10,0.28,0.337,incident_event
NCT01098539,NCT01098539,ae_sae,glm,arm_f_2_uaa10566,-1.383,3.242,incident_event
NCT01098539,NCT01098539,ae_sae,glm,sex,0.634,0.606,incident_event
NCT01098539,NCT01098539,ae_sae,glm,age10:arm_f_2_uaa10566,0.166,0.486,incident_event
NCT01098539,NCT01098539,ae_sae,glm,arm_f_2_uaa10566:sex,0.203,0.904,incident_event
NCT01098539,NCT01098539,ae_sae,glmnb,(Intercept),-11.964,2.804,incident_event
NCT01098539,NCT01098539,ae_sae,glmnb,age10,0.576,0.421,incident_event
NCT01098539,NCT01098539,ae_sae,glmnb,arm_f_2_uaa10566,-0.672,4.058,incident_event
NCT01098539,NCT01098539,ae_sae,glmnb,sex,1.18,0.73,incident_event
NCT01098539,NCT01098539,ae_sae,glmnb,age10:arm_f_2_uaa10566,0.091,0.609,incident_event
NCT01098539,NCT01098539,ae_sae,glmnb,arm_f_2_uaa10566:sex,-0.295,1.049,incident_event
NCT01128894,NCT01128894,ae_gi,glm,(Intercept),-5.823,0.419,incident_event
NCT01128894,NCT01128894,ae_gi,glm,age10,0.102,0.072,incident_event
NCT01128894,NCT01128894,ae_gi,glm,arm_f_2_uaa10601,-0.047,0.63,incident_event
NCT01128894,NCT01128894,ae_gi,glm,sex,-0.491,0.143,incident_event
NCT01128894,NCT01128894,ae_gi,glm,age10:arm_f_2_uaa10601,-0.088,0.11,incident_event
NCT01128894,NCT01128894,ae_gi,glm,arm_f_2_uaa10601:sex,-0.104,0.225,incident_event
NCT01128894,NCT01128894,ae_gi,glmnb,(Intercept),-3.383,0.774,incident_event
NCT01128894,NCT01128894,ae_gi,glmnb,age10,0.117,0.133,incident_event
NCT01128894,NCT01128894,ae_gi,glmnb,arm_f_2_uaa10601,-0.791,1.088,incident_event
NCT01128894,NCT01128894,ae_gi,glmnb,sex,-0.638,0.268,incident_event
NCT01128894,NCT01128894,ae_gi,glmnb,age10:arm_f_2_uaa10601,-0.028,0.19,incident_event
NCT01128894,NCT01128894,ae_gi,glmnb,arm_f_2_uaa10601:sex,-0.65,0.383,incident_event
NCT01128894,NCT01128894,ae_hypoglycaemia,glm,(Intercept),-7.924,0.711,incident_event
NCT01128894,NCT01128894,ae_hypoglycaemia,glm,age10,0.276,0.12,incident_event
NCT01128894,NCT01128894,ae_hypoglycaemia,glm,arm_f_2_uaa10601,0.32,1.008,incident_event
NCT01128894,NCT01128894,ae_hypoglycaemia,glm,sex,-0.728,0.226,incident_event
NCT01128894,NCT01128894,ae_hypoglycaemia,glm,age10:arm_f_2_uaa10601,-0.184,0.172,incident_event
NCT01128894,NCT01128894,ae_hypoglycaemia,glm,arm_f_2_uaa10601:sex,0.888,0.336,incident_event
NCT01128894,NCT01128894,ae_hypoglycaemia,glmnb,(Intercept),-7.903,1.18,incident_event
NCT01128894,NCT01128894,ae_hypoglycaemia,glmnb,age10,0.632,0.203,incident_event
NCT01128894,NCT01128894,ae_hypoglycaemia,glmnb,arm_f_2_uaa10601,1.668,1.626,incident_event
NCT01128894,NCT01128894,ae_hypoglycaemia,glmnb,sex,-1.07,0.398,incident_event
NCT01128894,NCT01128894,ae_hypoglycaemia,glmnb,age10:arm_f_2_uaa10601,-0.519,0.283,incident_event
NCT01128894,NCT01128894,ae_hypoglycaemia,glmnb,arm_f_2_uaa10601:sex,1.755,0.564,incident_event
NCT01128894,NCT01128894,ae_sae,glm,(Intercept),-9.489,1.358,incident_event
NCT01128894,NCT01128894,ae_sae,glm,age10,0.228,0.228,incident_event
NCT01128894,NCT01128894,ae_sae,glm,arm_f_2_uaa10601,-0.257,1.939,incident_event
NCT01128894,NCT01128894,ae_sae,glm,sex,-0.09,0.437,incident_event
NCT01128894,NCT01128894,ae_sae,glm,age10:arm_f_2_uaa10601,-0.044,0.327,incident_event
NCT01128894,NCT01128894,ae_sae,glm,arm_f_2_uaa10601:sex,0.734,0.646,incident_event
NCT01128894,NCT01128894,ae_sae,glmnb,(Intercept),-9.707,1.77,incident_event
NCT01128894,NCT01128894,ae_sae,glmnb,age10,0.343,0.301,incident_event
NCT01128894,NCT01128894,ae_sae,glmnb,arm_f_2_uaa10601,-0.174,2.467,incident_event
NCT01128894,NCT01128894,ae_sae,glmnb,sex,-0.188,0.576,incident_event
NCT01128894,NCT01128894,ae_sae,glmnb,age10:arm_f_2_uaa10601,-0.059,0.421,incident_event
NCT01128894,NCT01128894,ae_sae,glmnb,arm_f_2_uaa10601:sex,0.96,0.819,incident_event
NCT01128894,NCT01128894,ae_uti,glm,(Intercept),-8.646,1.421,incident_event
NCT01128894,NCT01128894,ae_uti,glm,age10,0.17,0.243,incident_event
NCT01128894,NCT01128894,ae_uti,glm,arm_f_2_uaa10601,0.794,1.813,incident_event
NCT01128894,NCT01128894,ae_uti,glm,sex,-1.617,0.559,incident_event
NCT01128894,NCT01128894,ae_uti,glm,age10:arm_f_2_uaa10601,-0.103,0.314,incident_event
NCT01128894,NCT01128894,ae_uti,glm,arm_f_2_uaa10601:sex,-0.086,0.779,incident_event
NCT01733758,NCT01733758,ae_gi,glm,(Intercept),-5.359,1.398,incident_event
NCT01733758,NCT01733758,ae_gi,glm,age10,-0.174,0.232,incident_event
NCT01733758,NCT01733758,ae_gi,glm,arm_f_2_uaa10899,-4.249,2.089,incident_event
NCT01733758,NCT01733758,ae_gi,glm,arm_f_2_uaa10900,-1.875,1.751,incident_event
NCT01733758,NCT01733758,ae_gi,glm,arm_f_2_uaa10901,-1.288,2.066,incident_event
NCT01733758,NCT01733758,ae_gi,glm,sex,-0.605,0.545,incident_event
NCT01733758,NCT01733758,ae_gi,glm,age10:arm_f_2_uaa10899,0.584,0.325,incident_event
NCT01733758,NCT01733758,ae_gi,glm,age10:arm_f_2_uaa10900,0.362,0.287,incident_event
NCT01733758,NCT01733758,ae_gi,glm,age10:arm_f_2_uaa10901,0.186,0.337,incident_event
NCT01733758,NCT01733758,ae_gi,glm,arm_f_2_uaa10899:sex,0.996,0.742,incident_event
NCT01733758,NCT01733758,ae_gi,glm,arm_f_2_uaa10900:sex,0.411,0.65,incident_event
NCT01733758,NCT01733758,ae_gi,glm,arm_f_2_uaa10901:sex,0.471,0.787,incident_event
NCT01733758,NCT01733758,ae_gi,glmnb,(Intercept),-4.919,1.992,incident_event
NCT01733758,NCT01733758,ae_gi,glmnb,age10,-0.066,0.322,incident_event
NCT01733758,NCT01733758,ae_gi,glmnb,arm_f_2_uaa10899,-4.983,2.822,incident_event
NCT01733758,NCT01733758,ae_gi,glmnb,arm_f_2_uaa10900,-0.185,2.515,incident_event
NCT01733758,NCT01733758,ae_gi,glmnb,arm_f_2_uaa10901,0.094,2.774,incident_event
NCT01733758,NCT01733758,ae_gi,glmnb,sex,-1.367,0.756,incident_event
NCT01733758,NCT01733758,ae_gi,glmnb,age10:arm_f_2_uaa10899,0.633,0.439,incident_event
NCT01733758,NCT01733758,ae_gi,glmnb,age10:arm_f_2_uaa10900,0.081,0.406,incident_event
NCT01733758,NCT01733758,ae_gi,glmnb,age10:arm_f_2_uaa10901,0.005,0.446,incident_event
NCT01733758,NCT01733758,ae_gi,glmnb,arm_f_2_uaa10899:sex,1.754,0.988,incident_event
NCT01733758,NCT01733758,ae_gi,glmnb,arm_f_2_uaa10900:sex,1.014,0.934,incident_event
NCT01733758,NCT01733758,ae_gi,glmnb,arm_f_2_uaa10901:sex,0.712,1.038,incident_event
NCT02229227,NCT02229227,ae_gi,glm,(Intercept),-7.985,0.954,incident_event
NCT02229227,NCT02229227,ae_gi,glm,age10,0.168,0.158,incident_event
NCT02229227,NCT02229227,ae_gi,glm,arm_f_2_uaa11080,1.167,1.155,incident_event
NCT02229227,NCT02229227,ae_gi,glm,sex,-0.297,0.285,incident_event
NCT02229227,NCT02229227,ae_gi,glm,age10:arm_f_2_uaa11080,-0.058,0.193,incident_event
NCT02229227,NCT02229227,ae_gi,glm,arm_f_2_uaa11080:sex,0.079,0.35,incident_event
NCT02229227,NCT02229227,ae_gi,glmnb,(Intercept),-7.659,1.225,incident_event
NCT02229227,NCT02229227,ae_gi,glmnb,age10,0.222,0.206,incident_event
NCT02229227,NCT02229227,ae_gi,glmnb,arm_f_2_uaa11080,2.134,1.603,incident_event
NCT02229227,NCT02229227,ae_gi,glmnb,sex,-0.59,0.38,incident_event
NCT02229227,NCT02229227,ae_gi,glmnb,age10:arm_f_2_uaa11080,-0.033,0.27,incident_event
NCT02229227,NCT02229227,ae_gi,glmnb,arm_f_2_uaa11080:sex,0.278,0.502,incident_event
NCT02229227,NCT02229227,ae_hypoglycaemia,glm,(Intercept),-4.305,0.345,incident_event
NCT02229227,NCT02229227,ae_hypoglycaemia,glm,age10,0.086,0.058,incident_event
NCT02229227,NCT02229227,ae_hypoglycaemia,glm,arm_f_2_uaa11080,-0.077,0.504,incident_event
NCT02229227,NCT02229227,ae_hypoglycaemia,glm,sex,-0.235,0.106,incident_event
NCT02229227,NCT02229227,ae_hypoglycaemia,glm,age10:arm_f_2_uaa11080,-0.112,0.086,incident_event
NCT02229227,NCT02229227,ae_hypoglycaemia,glm,arm_f_2_uaa11080:sex,0.214,0.158,incident_event
NCT02229227,NCT02229227,ae_hypoglycaemia,glmnb,(Intercept),-3.74,0.43,incident_event
NCT02229227,NCT02229227,ae_hypoglycaemia,glmnb,age10,0.104,0.072,incident_event
NCT02229227,NCT02229227,ae_hypoglycaemia,glmnb,arm_f_2_uaa11080,-0.114,0.62,incident_event
NCT02229227,NCT02229227,ae_hypoglycaemia,glmnb,sex,-0.301,0.135,incident_event
NCT02229227,NCT02229227,ae_hypoglycaemia,glmnb,age10:arm_f_2_uaa11080,-0.127,0.105,incident_event
NCT02229227,NCT02229227,ae_hypoglycaemia,glmnb,arm_f_2_uaa11080:sex,0.322,0.196,incident_event
NCT02229227,NCT02229227,ae_sae,glm,(Intercept),-9.357,1.343,incident_event
NCT02229227,NCT02229227,ae_sae,glm,age10,0.284,0.22,incident_event
NCT02229227,NCT02229227,ae_sae,glm,arm_f_2_uaa11080,2.27,1.852,incident_event
NCT02229227,NCT02229227,ae_sae,glm,sex,-0.128,0.374,incident_event
NCT02229227,NCT02229227,ae_sae,glm,age10:arm_f_2_uaa11080,-0.434,0.312,incident_event
NCT02229227,NCT02229227,ae_sae,glm,arm_f_2_uaa11080:sex,0.036,0.573,incident_event
NCT02229227,NCT02229227,ae_sae,glmnb,(Intercept),-9.355,1.347,incident_event
NCT02229227,NCT02229227,ae_sae,glmnb,age10,0.284,0.221,incident_event
NCT02229227,NCT02229227,ae_sae,glmnb,arm_f_2_uaa11080,2.283,1.857,incident_event
NCT02229227,NCT02229227,ae_sae,glmnb,sex,-0.132,0.375,incident_event
NCT02229227,NCT02229227,ae_sae,glmnb,age10:arm_f_2_uaa11080,-0.436,0.313,incident_event
NCT02229227,NCT02229227,ae_sae,glmnb,arm_f_2_uaa11080:sex,0.036,0.575,incident_event
NCT02229227,NCT02229227,ae_uti,glm,(Intercept),-6.13,1.086,incident_event
NCT02229227,NCT02229227,ae_uti,glm,age10,-0.223,0.192,incident_event
NCT02229227,NCT02229227,ae_uti,glm,arm_f_2_uaa11080,-0.792,1.623,incident_event
NCT02229227,NCT02229227,ae_uti,glm,sex,-1.577,0.546,incident_event
NCT02229227,NCT02229227,ae_uti,glm,age10:arm_f_2_uaa11080,0.138,0.283,incident_event
NCT02229227,NCT02229227,ae_uti,glm,arm_f_2_uaa11080:sex,-0.169,0.823,incident_event
NCT02465515,NCT02465515,ae_gi,glm,(Intercept),-11.592,0.589,incident_event
NCT02465515,NCT02465515,ae_gi,glm,age10,0.345,0.087,incident_event
NCT02465515,NCT02465515,ae_gi,glm,arm_f_2_uaa11138,1.947,0.733,incident_event
NCT02465515,NCT02465515,ae_gi,glm,sex,-0.13,0.15,incident_event
NCT02465515,NCT02465515,ae_gi,glm,age10:arm_f_2_uaa11138,-0.213,0.109,incident_event
NCT02465515,NCT02465515,ae_gi,glm,arm_f_2_uaa11138:sex,-0.08,0.19,incident_event
NCT02465515,NCT02465515,ae_hypoglycaemia,glm,(Intercept),-14.734,1.068,incident_event
NCT02465515,NCT02465515,ae_hypoglycaemia,glm,age10,0.552,0.151,incident_event
NCT02465515,NCT02465515,ae_hypoglycaemia,glm,arm_f_2_uaa11138,-0.672,1.705,incident_event
NCT02465515,NCT02465515,ae_hypoglycaemia,glm,sex,0.73,0.319,incident_event
NCT02465515,NCT02465515,ae_hypoglycaemia,glm,age10:arm_f_2_uaa11138,0.023,0.241,incident_event
NCT02465515,NCT02465515,ae_hypoglycaemia,glm,arm_f_2_uaa11138:sex,0.016,0.522,incident_event
NCT02465515,NCT02465515,ae_sae,glm,(Intercept),-8.894,0.27,incident_event
NCT02465515,NCT02465515,ae_sae,glm,age10,0.169,0.04,incident_event
NCT02465515,NCT02465515,ae_sae,glm,arm_f_2_uaa11138,0.222,0.387,incident_event
NCT02465515,NCT02465515,ae_sae,glm,sex,-0.063,0.072,incident_event
NCT02465515,NCT02465515,ae_sae,glm,age10:arm_f_2_uaa11138,-0.073,0.058,incident_event
NCT02465515,NCT02465515,ae_sae,glm,arm_f_2_uaa11138:sex,0.194,0.107,incident_event
NCT02465515,NCT02465515,ae_sae,glmnb,(Intercept),-8.856,0.301,incident_event
NCT02465515,NCT02465515,ae_sae,glmnb,age10,0.207,0.045,incident_event
NCT02465515,NCT02465515,ae_sae,glmnb,arm_f_2_uaa11138,0.323,0.43,incident_event
NCT02465515,NCT02465515,ae_sae,glmnb,sex,-0.095,0.081,incident_event
NCT02465515,NCT02465515,ae_sae,glmnb,age10:arm_f_2_uaa11138,-0.098,0.064,incident_event
NCT02465515,NCT02465515,ae_sae,glmnb,arm_f_2_uaa11138:sex,0.241,0.119,incident_event
NCT02465515,NCT02465515,ae_uti,glm,(Intercept),-12.247,1.108,incident_event
NCT02465515,NCT02465515,ae_uti,glm,age10,0.241,0.164,incident_event
NCT02465515,NCT02465515,ae_uti,glm,arm_f_2_uaa11138,1.018,1.531,incident_event
NCT02465515,NCT02465515,ae_uti,glm,sex,-0.108,0.289,incident_event
NCT02465515,NCT02465515,ae_uti,glm,age10:arm_f_2_uaa11138,-0.089,0.229,incident_event
NCT02465515,NCT02465515,ae_uti,glm,arm_f_2_uaa11138:sex,-0.726,0.395,incident_event
NCT02465515,NCT02465515,ae_uti,glmnb,(Intercept),-9.874,12.176,incident_event
NCT02465515,NCT02465515,ae_uti,glmnb,age10,0.168,1.845,incident_event
NCT02465515,NCT02465515,ae_uti,glmnb,arm_f_2_uaa11138,0.113,17.106,incident_event
NCT02465515,NCT02465515,ae_uti,glmnb,sex,-0.173,3.428,incident_event
NCT02465515,NCT02465515,ae_uti,glmnb,age10:arm_f_2_uaa11138,0.245,2.591,incident_event
NCT02465515,NCT02465515,ae_uti,glmnb,arm_f_2_uaa11138:sex,-1.304,4.86,incident_event
NCT02683746,NCT02683746,ae_gi,glm,(Intercept),-5.175,0.791,incident_event
NCT02683746,NCT02683746,ae_gi,glm,age10,-0.136,0.139,incident_event
NCT02683746,NCT02683746,ae_gi,glm,arm_f_2_uaa11204,-2.422,1.337,incident_event
NCT02683746,NCT02683746,ae_gi,glm,sex,-0.327,0.295,incident_event
NCT02683746,NCT02683746,ae_gi,glm,age10:arm_f_2_uaa11204,0.402,0.226,incident_event
NCT02683746,NCT02683746,ae_gi,glm,arm_f_2_uaa11204:sex,0.196,0.42,incident_event
NCT02683746,NCT02683746,ae_gi,glmnb,(Intercept),-4.473,1.323,incident_event
NCT02683746,NCT02683746,ae_gi,glmnb,age10,0.014,0.228,incident_event
NCT02683746,NCT02683746,ae_gi,glmnb,arm_f_2_uaa11204,-2.305,2.047,incident_event
NCT02683746,NCT02683746,ae_gi,glmnb,sex,-0.757,0.462,incident_event
NCT02683746,NCT02683746,ae_gi,glmnb,age10:arm_f_2_uaa11204,0.373,0.347,incident_event
NCT02683746,NCT02683746,ae_gi,glmnb,arm_f_2_uaa11204:sex,0.425,0.656,incident_event
