nct_id,arm_id_unq,drug_name,drug_dose,drug_unit,drug_freq,drug2_name,drug2_dose,drug2_unit,drug2_freq,new_note
NCT00996658,uaa10476,linagliptin,5,milligram,od,,,,,
NCT00996658,uaa10477,placebo,,,,,,,,
NCT00996658,uaa10478,,,,,,,,,
NCT00998881,uaa10479,placebo,,,,,,,,
NCT00998881,uaa10480,teneligliptin,20,milligram,od,,,,,
NCT00998881,uaa10481,,,,,,,,,
NCT01003184,uaa10482,exenatide,2,milligram,weekly,,,,,
NCT01003184,uaa10483,insulin detemir,as per bm,units,od|bd,,,,,
NCT01003184,uaa10484,,,,,,,,,
NCT01006590,uaa10485,metformin,500,milligram,od,,,,,
NCT01006590,uaa10486,saxagliptin,5,milligram,od,,,,,
NCT01006590,uaa10487,,,,,,,,,
NCT01006603,uaa10488,glimepiride,1|2|3|4|6,milligram,od,,,,,
NCT01006603,uaa10489,saxagliptin,5,milligram,od,,,,,
NCT01006603,uaa10490,,,,,,,,,
NCT01023581,uaa10491,alogliptin,12.5,milligram,od,,,,,
NCT01023581,uaa10492,alogliptin,25,milligram,od,,,,,
NCT01023581,uaa10493,alogliptin,12.5,milligram,od,metformin,1000,milligram,bd,
NCT01023581,uaa10494,alogliptin,12.5,milligram,od,metformin,500,milligram,bd,
NCT01023581,uaa10495,metformin,1000,milligram,bd,,,,,
NCT01023581,uaa10496,metformin,500,milligram,bd,,,,,
NCT01023581,uaa10497,placebo,,,,,,,,
NCT01023581,uaa10498,,,,,,,,,
NCT01026194,uaa10499,,,,,,,,,
NCT01026194,uaa10500,placebo,,,,,,,,
NCT01026194,uaa10501,teneligliptin,20,milligram,od,,,,,
NCT01026194,uaa10502,,,,,,,,,
NCT01028391,uaa10503,placebo,,,,,,,,
NCT01028391,uaa10504,sitagliptin,100,milligram,od,,,,,
NCT01028391,uaa10505,,,,,,,,,
NCT01029886,uaa10506,exenatide,2,milligram,weekly,,,,,
NCT01029886,uaa10507,liraglutide,1.8,milligram,od,,,,,
NCT01029886,uaa10508,,,,,,,,,
NCT01031680,uaa10509,dapagliflozin,10,milligram,od,,,,,
NCT01031680,uaa10510,placebo,,,,,,,,
NCT01031680,uaa10511,,,,,,,,,
NCT01032629,uaa10512,canagliflozin,100,milligram,od,,,,,
NCT01032629,uaa10513,canagliflozin,100|300,milligram,od,,,,,
NCT01032629,uaa10514,canagliflozin,300,milligram,od,,,,,
NCT01032629,uaa10515,placebo,,,,,,,,
NCT01032629,uaa10516,,,,,,,,,
NCT01042977,uaa10517,dapagliflozin,10,milligram,od,,,,,
NCT01042977,uaa10518,placebo,,,,,,,,
NCT01042977,uaa10519,,,,,,,,,
NCT01046110,uaa10520,insulin degludec,as per bm,units,,,,,,
NCT01046110,uaa10521,sitagliptin,100,milligram,od,,,,,
NCT01046110,uaa10522,,,,,,,,,
NCT01064414,uaa10523,canagliflozin,100,milligram,od,,,,,
NCT01064414,uaa10524,canagliflozin,300,milligram,od,,,,,
NCT01064414,uaa10525,placebo,,,,,,,,
NCT01064414,uaa10526,,,,,,,,,
NCT01064687,uaa10527,dulaglutide,0.75,milligram,weekly,,,,,
NCT01064687,uaa10528,dulaglutide,0.75|1.5,milligram,weekly,,,,,
NCT01064687,uaa10529,dulaglutide,1.5,milligram,weekly,,,,,
NCT01064687,uaa10530,exenatide,10,microgram,bd,,,,,
NCT01064687,uaa10531,placebo,,,,,,,,
NCT01064687,uaa10532,,,,,,,,,
NCT01075282,uaa10533,dulaglutide,0.75,milligram,weekly,,,,,
NCT01075282,uaa10534,dulaglutide,0.75|1.5,milligram,weekly,,,,,
NCT01075282,uaa10535,dulaglutide,1.5,milligram,weekly,,,,,
NCT01075282,uaa10536,insulin glargine,as per bm,units,od,,,,,
NCT01075282,uaa10537,,,,,,,,,
NCT01076075,uaa10538,placebo,,,,,,,,
NCT01076075,uaa10539,sitagliptin,100,milligram,od,,,,,
NCT01076075,uaa10540,,,,,,,,,
NCT01076088,uaa10541,metformin,500,milligram,bd,,,,,
NCT01076088,uaa10542,metformin,850,milligram,bd,,,,,
NCT01076088,uaa10543,placebo,,,,,,,,
NCT01076088,uaa10544,sitagliptin,50,milligram,od,metformin,500,milligram,bd,
NCT01076088,uaa10545,sitagliptin,50,milligram,od,metformin,850,milligram,bd,
NCT01076088,uaa10546,sitagliptin,100,milligram,od,,,,,
NCT01076088,uaa10547,,,,,,,,,
NCT01081834,uaa10548,canagliflozin,100,milligram,od,,,,,
NCT01081834,uaa10549,canagliflozin,300,milligram,od,,,,,
NCT01081834,uaa10550,placebo,,,,,,,,
NCT01081834,uaa10551,,,,,,,,,
NCT01084005,uaa10552,linagliptin,5,milligram,od,,,,,
NCT01084005,uaa10553,placebo,,,,,,,,
NCT01084005,uaa10554,,,,,,,,,
NCT01087502,uaa10555,linagliptin,5,milligram,od,,,,,
NCT01087502,uaa10556,placebo,,,,,,,,
NCT01087502,uaa10557,,,,,,,,,
NCT01095653,uaa10558,dapagliflozin,10,milligram,od,,,,,
NCT01095653,uaa10559,dapagliflozin,5,milligram,od,,,,,
NCT01095653,uaa10560,placebo,,,,,,,,
NCT01095653,uaa10561,,,,,,,,,
NCT01095666,uaa10562,dapagliflozin,10,milligram,od,,,,,
NCT01095666,uaa10563,dapagliflozin,5,milligram,od,,,,,
NCT01095666,uaa10564,placebo,,,,,,,,
NCT01095666,uaa10565,,,,,,,,,
NCT01098539,uaa10566,albiglutide,30,milligram,weekly,,,,,
NCT01098539,uaa10567,sitagliptin,100,milligram,od,,,,,
NCT01098539,uaa10568,,,,,,,,,
NCT01106625,uaa10569,canagliflozin,100,milligram,od,,,,,
NCT01106625,uaa10570,canagliflozin,300,milligram,od,,,,,
NCT01106625,uaa10571,placebo,,,,,,,,
NCT01106625,uaa10572,,,,,,,,,
NCT01106651,uaa10573,canagliflozin,100,milligram,od,,,,,
NCT01106651,uaa10574,canagliflozin,300,milligram,od,,,,,
NCT01106651,uaa10575,placebo,,,,,,,,
NCT01106651,uaa10576,,,,,,,,,
NCT01106677,uaa10577,canagliflozin,100,milligram,od,,,,,
NCT01106677,uaa10578,canagliflozin,300,milligram,od,,,,,
NCT01106677,uaa10579,placebo,,,,,,,,
NCT01106677,uaa10580,sitagliptin,100,milligram,od,,,,,
NCT01106677,uaa10581,,,,,,,,,
NCT01106690,uaa10582,canagliflozin,100,milligram,od,,,,,
NCT01106690,uaa10583,canagliflozin,300,milligram,od,,,,,
NCT01106690,uaa10584,placebo,,,,,,,,
NCT01106690,uaa10585,,,,,,,,,
NCT01107886,uaa10586,placebo,,,,,,,,
NCT01107886,uaa10587,saxagliptin,5,milligram,od,,,,,
NCT01107886,uaa10588,,,,,,,,,
NCT01117350,uaa10589,,,,,,,,,
NCT01117350,uaa10590,insulin glargine,as per bm,units,,,,,,
NCT01117350,uaa10591,liraglutide,1.8,milligram,od,,,,,
NCT01117350,uaa10592,,,,,,,,,
NCT01126580,uaa10593,dulaglutide,0.75,milligram,weekly,,,,,
NCT01126580,uaa10594,dulaglutide,0.75|1.5,milligram,weekly,,,,,
NCT01126580,uaa10595,dulaglutide,1.5,milligram,weekly,,,,,
NCT01126580,uaa10596,metformin,750,milligram,bd,,,,,
NCT01126580,uaa10597,,,,,,,,,
NCT01128153,uaa10598,placebo,,,,,,,,
NCT01128153,uaa10599,saxagliptin,5,milligram,od,,,,,
NCT01128153,uaa10600,,,,,,,,,
NCT01128894,uaa10601,albiglutide,50,milligram,weekly,,,,,
NCT01128894,uaa10602,liraglutide,1.8,milligram,od,,,,,
NCT01128894,uaa10603,,,,,,,,,
NCT01131676,uaa10604,empagliflozin,10,milligram,od,,,,,
NCT01131676,uaa10605,empagliflozin,10|25,milligram,od,,,,,
NCT01131676,uaa10606,empagliflozin,25,milligram,od,,,,,
NCT01131676,uaa10607,placebo,,,,,,,,
NCT01131676,uaa10608,,,,,,,,,
NCT01137474,uaa10609,dapagliflozin,10,milligram,od,,,,,
NCT01137474,uaa10610,dapagliflozin,2.5,milligram,od,,,,,
NCT01137474,uaa10611,dapagliflozin,5,milligram,od,,,,,
NCT01137474,uaa10612,placebo,,,,,,,,
NCT01137474,uaa10613,,,,,,,,,
NCT01137812,uaa10614,canagliflozin,300,milligram,od,,,,,
NCT01137812,uaa10615,sitagliptin,100,milligram,od,,,,,
NCT01137812,uaa10616,,,,,,,,,
NCT01144338,uaa10617,exenatide,2,milligram,weekly,,,,,
NCT01144338,uaa10618,placebo,,,,,,,,
NCT01144338,uaa10619,,,,,,,,,
NCT01147250,uaa10620,lixisenatide,20,microgram,od,,,,,
NCT01147250,uaa10621,placebo,,,,,,,,
NCT01147250,uaa10622,,,,,,,,,
NCT01147627,uaa10623,exenatide,10,microgram,bd,,,,,
NCT01147627,uaa10624,insulin mixed,0.4/kg,units,bd,,,,,
NCT01147627,uaa10625,pioglitazone,45,milligram,od,,,,,
NCT01147627,uaa10626,,,,,,,,,
NCT01159600,uaa10627,empagliflozin,10,milligram,od,,,,,
NCT01159600,uaa10628,empagliflozin,25,milligram,od,,,,,
NCT01159600,uaa10629,placebo,,,,,,,,
NCT01159600,uaa10630,,,,,,,,,
NCT01164501,uaa10631,empagliflozin,10,milligram,od,,,,,
NCT01164501,uaa10632,empagliflozin,25,milligram,od,,,,,
NCT01164501,uaa10633,placebo,,,,,,,,
NCT01164501,uaa10634,,,,,,,,,
NCT01167881,uaa10635,empagliflozin,25,milligram,od,,,,,
NCT01167881,uaa10636,glimepiride,1,milligram,od,,,,,
NCT01167881,uaa10637,,,,,,,,,
NCT01169779,uaa10638,lixisenatide,20,microgram,od,,,,,
NCT01169779,uaa10639,placebo,,,,,,,,
NCT01169779,uaa10640,,,,,,,,,
NCT01177384,uaa10641,placebo,,,,,,,,
NCT01177384,uaa10642,sitagliptin,100,milligram,od,,,,,
NCT01177384,uaa10643,,,,,,,,,
NCT01177813,uaa10644,empagliflozin,10,milligram,od,,,,,
NCT01177813,uaa10645,empagliflozin,25,milligram,od,,,,,
NCT01177813,uaa10646,placebo,,,,,,,,
NCT01177813,uaa10647,sitagliptin,100,milligram,od,,,,,
NCT01177813,uaa10648,,,,,,,,,
NCT01179048,uaa10649,liraglutide,1.8,milligram,od,,,,,
NCT01179048,uaa10650,placebo,,,,,,,,
NCT01179048,uaa10651,,,,,,,,,
NCT01183013,uaa10652,linagliptin,5,milligram,od,,,,,
NCT01183013,uaa10653,linagliptin,5,milligram,od,pioglitazone,15,milligram,od,
NCT01183013,uaa10654,linagliptin,5,milligram,od,pioglitazone,30,milligram,od,
NCT01183013,uaa10655,linagliptin,5,milligram,od,pioglitazone,45,milligram,od,
NCT01183013,uaa10656,pioglitazone,15,milligram,od,,,,,
NCT01183013,uaa10657,pioglitazone,30,milligram,od,,,,,
NCT01183013,uaa10658,pioglitazone,45,milligram,od,,,,,
NCT01183013,uaa10659,,,,,,,,,
NCT01183104,uaa10660,glimepiride,0.5,milligram,od,,,,,
NCT01183104,uaa10661,sitagliptin,50,milligram,od,,,,,
NCT01183104,uaa10662,,,,,,,,,
NCT01189890,uaa10663,glimepiride,1,milligram,od,,,,,
NCT01189890,uaa10664,sitagliptin,100,milligram,od,,,,,
NCT01189890,uaa10665,,,,,,,,,
NCT01191268,uaa10666,dulaglutide,0.75,milligram,weekly,,,,,
NCT01191268,uaa10667,dulaglutide,0.75|1.5,milligram,weekly,,,,,
NCT01191268,uaa10668,dulaglutide,1.5,milligram,weekly,,,,,
NCT01191268,uaa10669,insulin glargine,as per bm,units,od,,,,,
NCT01191268,uaa10670,,,,,,,,,
NCT01194830,uaa10671,linagliptin,5,milligram,od,,,,,
NCT01194830,uaa10672,placebo,,,,,,,,
NCT01194830,uaa10673,,,,,,,,,
NCT01195090,uaa10674,pioglitazone,30,milligram,od,,,,,
NCT01195090,uaa10675,sitagliptin,100,milligram,od,,,,,
NCT01195090,uaa10676,,,,,,,,,
NCT01195662,uaa10677,dapagliflozin,10,milligram,od,,,,,
NCT01195662,uaa10678,,,,,,,,,
NCT01195662,uaa10679,placebo,,,,,,,,
NCT01195662,uaa10680,,,,,,,,,
NCT01204294,uaa10681,linagliptin,5,milligram,od,alpha glucosidase inhibitor,,,,
NCT01204294,uaa10682,linagliptin,5,milligram,od,glinide,,,,
NCT01204294,uaa10683,linagliptin,5,milligram,od,metformin,,,,
NCT01204294,uaa10684,linagliptin,5,milligram,od,sulfonylurea,,,,
NCT01204294,uaa10685,linagliptin,5,milligram,od,glitazone,,,,
NCT01204294,uaa10686,metformin,500,milligram,od,alpha glucosidase inhibitor,,,,
NCT01204294,uaa10687,metformin,500,milligram,od,sulfonylurea,,,,
NCT01204294,uaa10688,,,,,,,,,
NCT01210001,uaa10689,empagliflozin,10,milligram,od,,,,,
NCT01210001,uaa10690,empagliflozin,25,milligram,od,,,,,
NCT01210001,uaa10691,placebo,,,,,,,,
NCT01210001,uaa10692,,,,,,,,,
NCT01214239,uaa10693,linagliptin,5,milligram,od,,,,,
NCT01214239,uaa10694,placebo,,,,,,,,
NCT01214239,uaa10695,,,,,,,,,
NCT01215097,uaa10696,linagliptin,5,milligram,od,,,,,
NCT01215097,uaa10697,placebo,,,,,,,,
NCT01215097,uaa10698,,,,,,,,,
NCT01217892,uaa10699,dapagliflozin,10,milligram,od,,,,,
NCT01217892,uaa10700,dapagliflozin,2.5,milligram,bd,,,,,
NCT01217892,uaa10701,dapagliflozin,5,milligram,od,,,,,
NCT01217892,uaa10702,placebo,,,,,,,,
NCT01217892,uaa10703,,,,,,,,,
NCT01243424,uaa10704,glimepiride,1,milligram,od,,,,,
NCT01243424,uaa10705,linagliptin,5,milligram,od,,,,,
NCT01243424,uaa10706,,,,,,,,,
NCT01272232,uaa10707,liraglutide,1.8,milligram,od,,,,,
NCT01272232,uaa10708,liraglutide,3,milligram,od,,,,,
NCT01272232,uaa10709,placebo,,,,,,,,
NCT01272232,uaa10710,,,,,,,,,
NCT01289119,uaa10711,alogliptin,25,milligram,od,,,,,
NCT01289119,uaa10712,alogliptin,25,milligram,od,metformin,500,milligram,bd,
NCT01289119,uaa10713,alogliptin,25,milligram,od,pioglitazone,unknown,milligram,od,
NCT01289119,uaa10714,metformin,500,milligram,bd,,,,,
NCT01289119,uaa10715,pioglitazone,,milligram,od,,,,,
NCT01289119,uaa10716,placebo,,,,,,,,
NCT01289119,uaa10717,,,,,,,,,
NCT01294423,uaa10718,dapagliflozin,10,milligram,od,,,,,
NCT01294423,uaa10719,dapagliflozin,5,milligram,od,,,,,
NCT01294423,uaa10720,placebo,,,,,,,,
NCT01294423,uaa10721,,,,,,,,,
NCT01296412,uaa10722,liraglutide,1.2,milligram,od,,,,,
NCT01296412,uaa10723,sitagliptin,100,milligram,od,,,,,
NCT01296412,uaa10724,,,,,,,,,
NCT01306214,uaa10725,empagliflozin,10,milligram,od,,,,,
NCT01306214,uaa10726,empagliflozin,25,milligram,od,,,,,
NCT01306214,uaa10727,placebo,,,,,,,,
NCT01306214,uaa10728,,,,,,,,,
NCT01336023,uaa10729,insulin degludec,as per bm,units,,,,,,
NCT01336023,uaa10730,liraglutide,0.36,units,od,,,,,
NCT01336023,uaa10731,liraglutide,1.8,milligram,od,,,,,
NCT01336023,uaa10732,,,,,,,,,
NCT01370005,uaa10737,empagliflozin,10,milligram,od,,,,,
NCT01370005,uaa10738,empagliflozin,25,milligram,od,,,,,
NCT01370005,uaa10739,placebo,,,,,,,,
NCT01370005,uaa10740,,,,,,,,,
NCT01381900,uaa10741,canagliflozin,100,milligram,od,,,,,
NCT01381900,uaa10742,canagliflozin,300,milligram,od,,,,,
NCT01381900,uaa10743,placebo,,,,,,,,
NCT01381900,uaa10744,,,,,,,,,
NCT01387737,uaa10745,canagliflozin,100,milligram,od,,,,,
NCT01387737,uaa10746,canagliflozin,200,milligram,od,,,,,
NCT01387737,uaa10747,,,,,,,,,
NCT01388361,uaa10748,,,,,,,,,
NCT01388361,uaa10749,insulin_aspart,as per bm,units,,,,,,
NCT01388361,uaa10750,liraglutide,1.2,milligram,od,,,,,
NCT01388361,uaa10751,,,,,,,,,
NCT01392573,uaa10752,liraglutide,0.6,units,od,,,,,
NCT01392573,uaa10753,placebo,,,,,,,,
NCT01392573,uaa10754,,,,,,,,,
NCT01392677,uaa10755,dapagliflozin,10,milligram,od,,,,,
NCT01392677,uaa10756,placebo,,,,,,,,
NCT01392677,uaa10757,,,,,,,,,
NCT01394952,uaa10758,dulaglutide,1.5,milligram,weekly,,,,,
NCT01394952,uaa10759,placebo,,,,,,,,
NCT01394952,uaa10760,,,,,,,,,
NCT01406717,uaa10761,exenatide,10,microgram,bd,,,,,
NCT01406717,uaa10762,placebo,,,,,,,,
NCT01406717,uaa10763,,,,,,,,,
NCT01413204,uaa10764,canagliflozin,100,milligram,od,,,,,
NCT01413204,uaa10765,canagliflozin,200,milligram,od,,,,,
NCT01413204,uaa10766,placebo,,,,,,,,
NCT01413204,uaa10767,,,,,,,,,
NCT01422876,uaa10768,empagliflozin,10,milligram,od,,,,,
NCT01422876,uaa10769,empagliflozin,25,milligram,od,,,,,
NCT01422876,uaa10770,empagliflozin,10,milligram,od,linagliptin,5,milligram,od,
NCT01422876,uaa10771,empagliflozin,25,milligram,od,linagliptin,5,milligram,od,
NCT01422876,uaa10772,linagliptin,5,milligram,od,,,,,
NCT01422876,uaa10773,,,,,,,,,
NCT01438814,uaa10774,linagliptin,5,milligram,od,,,,,
NCT01438814,uaa10775,metformin,500,milligram,od,,,,,
NCT01438814,uaa10776,,,,,,,,,
NCT01462266,uaa10777,placebo,,,,,,,,
NCT01462266,uaa10778,sitagliptin,100,milligram,od,,,,,
NCT01462266,uaa10779,,,,,,,,,
NCT01505673,uaa10780,liraglutide,1.8,milligram,od,,,,,
NCT01505673,uaa10781,placebo,,,,,,,,
NCT01505673,uaa10782,,,,,,,,,
NCT01512108,uaa10783,liraglutide,0.9,milligram,od,,,,,
NCT01512108,uaa10784,oad,,,,,,,,
NCT01512108,uaa10785,,,,,,,,,
NCT01519674,uaa10786,insulin aspart,as per bm,units,bd,,,,,
NCT01519674,uaa10787,sitagliptin,100,milligram,od,insulin aspart,as per bm,units,bd,
NCT01519674,uaa10788,sitagliptin,100,milligram,od,insulin aspart,as per bm,units,od,
NCT01519674,uaa10789,,,,,,,,,
NCT01528254,uaa10790,placebo,,,,,,,,
NCT01528254,uaa10791,,,,,,,,,
NCT01528254,uaa10792,vildagliptin,50,milligram,bd,,,,,
NCT01541215,uaa10793,liraglutide,0.6,milligram,od,,,,,
NCT01541215,uaa10794,placebo,,,,,,,,
NCT01541215,uaa10795,,,,,,,,,
NCT01558271,uaa10796,dulaglutide,0.75,milligram,weekly,,,,,
NCT01558271,uaa10797,liraglutide,0.9,milligram,od,,,,,
NCT01558271,uaa10798,placebo,,,,,,,,
NCT01558271,uaa10799,,,,,,,,,
NCT01572740,uaa10800,liraglutide,0.9,milligram,od,,,,,
NCT01572740,uaa10801,placebo,,,,,,,,
NCT01572740,uaa10802,,,,,,,,,
NCT01584232,uaa10803,dulaglutide,0.75,milligram,weekly,,,,,
NCT01584232,uaa10804,insulin glargine,as per bm,units,od,,,,,
NCT01584232,uaa10805,,,,,,,,,
NCT01590771,uaa10806,placebo,,,,,,,,
NCT01590771,uaa10807,sitagliptin,100,milligram,od,,,,,
NCT01590771,uaa10808,,,,,,,,,
NCT01590797,uaa10809,placebo,,,,,,,,
NCT01590797,uaa10810,sitagliptin,100,milligram,od,,,,,
NCT01590797,uaa10811,,,,,,,,,
NCT01606007,uaa10812,dapagliflozin,10,milligram,od,,,,,
NCT01606007,uaa10813,dapagliflozin,10,milligram,od,saxagliptin,5,milligram,od,
NCT01606007,uaa10814,saxagliptin,5,milligram,od,,,,,
NCT01606007,uaa10815,,,,,,,,,
NCT01617434,uaa10816,liraglutide,1.8,milligram,od,,,,,
NCT01617434,uaa10817,placebo,,,,,,,,
NCT01617434,uaa10818,,,,,,,,,
NCT01619059,uaa10819,placebo,,,,,,,,
NCT01619059,uaa10820,saxagliptin,5,milligram,od,,,,,
NCT01619059,uaa10821,,,,,,,,,
NCT01620489,uaa10822,liraglutide,1.8,milligram,od,,,,,
NCT01620489,uaa10823,placebo,,,,,,,,
NCT01620489,uaa10824,,,,,,,,,
NCT01621178,uaa10825,dulaglutide,0.75,milligram,weekly,,,,,
NCT01621178,uaa10826,dulaglutide,1.5,milligram,weekly,,,,,
NCT01621178,uaa10827,insulin glargine,as per bm,units,od,,,,,
NCT01621178,uaa10828,,,,,,,,,
NCT01624259,uaa10829,dulaglutide,1.5,milligram,weekly,,,,,
NCT01624259,uaa10830,liraglutide,1.8,milligram,od,,,,,
NCT01624259,uaa10831,,,,,,,,,
NCT01644500,uaa10832,dulaglutide,0.75,milligram,weekly,,,,,
NCT01644500,uaa10833,dulaglutide,1.5,milligram,weekly,,,,,
NCT01644500,uaa10834,glimepiride,1,milligram,od,,,,,
NCT01644500,uaa10835,,,,,,,,,
NCT01646320,uaa10836,dapagliflozin,10,milligram,od,,,,,
NCT01646320,uaa10837,placebo,,,,,,,,
NCT01646320,uaa10838,,,,,,,,,
NCT01648582,uaa10839,dulaglutide,0.75,milligram,weekly,,,,,
NCT01648582,uaa10840,dulaglutide,1.5,milligram,weekly,,,,,
NCT01648582,uaa10841,insulin glargine,as per bm,units,od,,,,,
NCT01648582,uaa10842,,,,,,,,,
NCT01652716,uaa10843,exenatide,10,microgram,bd,,,,,
NCT01652716,uaa10844,exenatide,2,milligram,weekly,,,,,
NCT01652716,uaa10845,,,,,,,,,
NCT01652729,uaa10846,exenatide,2,milligram,weekly,,,,,
NCT01652729,uaa10847,placebo,,,,,,,,
NCT01652729,uaa10848,sitagliptin,100,milligram,od,,,,,
NCT01652729,uaa10849,,,,,,,,,
NCT01676116,uaa10850,insulin degludec,as per bm,units,,,,,,
NCT01676116,uaa10851,liraglutide,,milligram,od,,,,,
NCT01676116,uaa10852,,,,,,,,,
NCT01682759,uaa10853,glimepiride,1,milligram,od,,,,,
NCT01682759,uaa10854,omarigliptin,25,milligram,weekly,,,,,
NCT01682759,uaa10855,,,,,,,,,
NCT01698775,uaa10859,omarigliptin,12.5|25,milligram,weekly,,,,,
NCT01698775,uaa10860,placebo,,,,,,,,
NCT01698775,uaa10861,,,,,,,,,
NCT01703208,uaa10862,omarigliptin,25,milligram,weekly,,,,,
NCT01703208,uaa10863,placebo,,,,,,,,
NCT01703208,uaa10864,,,,,,,,,
NCT01703221,uaa10865,omarigliptin,25,milligram,weekly,,,,,
NCT01703221,uaa10866,placebo,,,,,,,,
NCT01703221,uaa10867,sitagliptin,50,milligram,od,,,,,
NCT01703221,uaa10868,,,,,,,,,
NCT01704261,uaa10869,omarigliptin,25,milligram,weekly,,,,,
NCT01704261,uaa10870,placebo,,,,,,,,
NCT01704261,uaa10871,,,,,,,,,
NCT01708902,uaa10872,linagliptin,2.5,milligram,od,,,,,
NCT01708902,uaa10873,linagliptin,5,milligram,od,,,,,
NCT01708902,uaa10874,linagliptin,2.5,milligram,bd,metformin,1000,milligram,bd,
NCT01708902,uaa10875,linagliptin,2.5,milligram,bd,metformin,500,milligram,bd,
NCT01708902,uaa10876,metformin,1000,milligram,bd,,,,,
NCT01708902,uaa10877,metformin,500,milligram,bd,,,,,
NCT01708902,uaa10878,,,,,,,,,
NCT01717313,uaa10879,omarigliptin,25,milligram,weekly,,,,,
NCT01717313,uaa10880,placebo,,,,,,,,
NCT01717313,uaa10881,,,,,,,,,
NCT01719003,uaa10882,empagliflozin,10,milligram,od,,,,,
NCT01719003,uaa10883,empagliflozin,25,milligram,od,,,,,
NCT01719003,uaa10884,empagliflozin,12.5,milligram,bd,metformin,1000,milligram,bd,
NCT01719003,uaa10885,empagliflozin,12.5,milligram,bd,metformin,500,milligram,bd,
NCT01719003,uaa10886,empagliflozin,5,milligram,bd,metformin,1000,milligram,bd,
NCT01719003,uaa10887,empagliflozin,5,milligram,bd,metformin,500,milligram,bd,
NCT01719003,uaa10888,metformin,1000,milligram,bd,,,,,
NCT01719003,uaa10889,metformin,500,milligram,bd,,,,,
NCT01719003,uaa10890,,,,,,,,,
NCT01730534,uaa10896,dapagliflozin,10,milligram,od,,,,,
NCT01730534,uaa10897,placebo,,,,,,,,
NCT01730534,uaa10898,,,,,,,,,
NCT01733758,uaa10899,albiglutide,30,milligram,weekly,,,,,
NCT01733758,uaa10900,albiglutide,50,milligram,weekly,,,,,
NCT01733758,uaa10901,liraglutide,0.9,milligram,od,,,,,
NCT01733758,uaa10902,placebo,,,,,,,,
NCT01733758,uaa10903,,,,,,,,,
NCT01734785,uaa10904,empagliflozin,10,milligram,od,,,,,
NCT01734785,uaa10905,empagliflozin,25,milligram,od,,,,,
NCT01734785,uaa10906,linagliptinOL,5,milligram,od,,,,,
NCT01734785,uaa10907,placebo,,,,,,,,
NCT01734785,uaa10908,,,,,,,,,
NCT01755156,uaa10909,omarigliptin,25,milligram,weekly,,,,,
NCT01755156,uaa10910,placebo,,,,,,,,
NCT01755156,uaa10911,,,,,,,,,
NCT01766778,uaa10912,,,,,,,,,
NCT01766778,uaa10913,vildagliptin,50,milligram,bd,,,,,
NCT01766778,uaa10914,vildagliptin,50,milligram,od,,,,,
NCT01768559,uaa10915,insulin glulisine,as per bm,units,od,,,,,
NCT01768559,uaa10916,insulin glulisine,as per bm,units,tid,,,,,
NCT01768559,uaa10917,lixisenatide,20,microgram,od,,,,,
NCT01768559,uaa10918,,,,,,,,,
NCT01769378,uaa10919,dulaglutide,1.5,milligram,weekly,,,,,
NCT01769378,uaa10920,placebo,,,,,,,,
NCT01769378,uaa10921,,,,,,,,,
NCT01778049,uaa10922,empagliflozin,10,milligram,od,,,,,
NCT01778049,uaa10923,empagliflozin,25,milligram,od,,,,,
NCT01778049,uaa10924,empagliflozin,10,milligram,od,linagliptin,5,milligram,od,
NCT01778049,uaa10925,empagliflozin,25,milligram,od,linagliptin,5,milligram,od,
NCT01778049,uaa10926,,,,,,,,,
NCT01778049,ipd00001,,5,milligram,od,,,,,populationA 25mg empa
NCT01778049,ipd00002,,,,,,,,,populationA 25mg empa
NCT01778049,ipd00003,,5,milligram,od,,,,,populationB 10mg empa
NCT01778049,ipd00004,,,,,,,,,populationB 10mg empa
NCT01792518,uaa10927,linagliptin,5,milligram,od,,,,,
NCT01792518,uaa10928,placebo,,,,,,,,
NCT01792518,uaa10929,,,,,,,,,
NCT01798706,uaa10930,lixisenatide,20,microgram,od,,,,,
NCT01798706,uaa10931,placebo,,,,,,,,
NCT01798706,uaa10932,,,,,,,,,
NCT01809327,uaa10933,canagliflozin,100,milligram,od,,,,,
NCT01809327,uaa10934,canagliflozin,300,milligram,od,,,,,
NCT01809327,uaa10935,canagliflozin,100,milligram,od,metformin,500,milligram,od,
NCT01809327,uaa10936,canagliflozin,300,milligram,od,metformin,500,milligram,od,
NCT01809327,uaa10937,metformin,500,milligram,od,,,,,
NCT01809327,uaa10938,,,,,,,,,
NCT01814748,uaa10939,omarigliptin,25,milligram,weekly,,,,,
NCT01814748,uaa10940,placebo,,,,,,,,
NCT01814748,uaa10941,,,,,,,,,
NCT01822548,uaa10942,glibenclamide,10,milligram,od,,,,,
NCT01822548,uaa10943,,,,,,,,,
NCT01822548,uaa10944,vildagliptin,100,milligram,od,,,,,
NCT01841697,uaa10945,omarigliptin,25,milligram,weekly,,,,,
NCT01841697,uaa10946,sitagliptin,100,milligram,od,,,,,
NCT01841697,uaa10947,,,,,,,,,
NCT01871558,uaa10948,su,,milligram,bd,,,,,
NCT01871558,uaa10949,,,,,,,,,
NCT01871558,uaa10950,vildagliptin,50,milligram,bd,,,,,
NCT01882907,uaa10951,pioglitazone,15,milligram,bd,,,,,
NCT01882907,uaa10952,,,,,,,,,
