trial_id,outcome,inrob,srch_rnd,covidence_id,study_id,reviewer,sequence_generation_judge,allocation_concealment_judge,blinding_participant,blinding_assessor,incomplete_outcome_data,selective_outcome_reporting,note,allocation_concealment_quote,allocation_concealment_comment,blinding_assessor_judge,blinding_assessor_quote,blinding_assessor_comment,blinding_participant_judge,blinding_participant_quote,blinding_participant_comment,incomplete_outcome_data_judge,incomplete_outcome_data_quote,incomplete_outcome_data_comment,other_bias_judge,other_bias_quote,other_bias_comment,selective_outcome_reporting_judge,selective_outcome_reporting_quote,selective_outcome_reporting_comment,sequence_generation_quote,sequence_generation_comment
NCT00601250,hba1c and or MACE,y,orig,#3478,Taskinen 2011,LW,low,unclear,,,,,,,,low,,,low,,,low,,,low,,,low,,,This allocation was strati<U+FB01>ed by the level of glycaemic control at the start of the placebo,"
"
NCT00602472,hba1c and or MACE,y,orig,#1936,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00602472,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,Low,Unclear,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00603239,hba1c and or MACE,y,orig,,,SA,Low,Low,,,,,,,,Low,,,Low,,,Low,,,Low,,,Low,,,,
NCT00614120,hba1c and or MACE,y,orig,#3479,Yang 2011,"KA,SA","unclear,low","unclear,low",,,,,,,,"unclear,low",,,low,"16-week, randomized, double-blind, double-dummy, four-arm, active control trial was carried out.","
","high,low","Post baseline missing values were replaced using the last observation carried forward (LOCF) approach in the full analysis set (FAS), which was deﬁned as subjects who were exposed to at least one dose of trial product and had one post baseline measurement of the parameter. FAS (LOCF) was the main analysis for efﬁcacy endpoints, while safety analysis was based on safety analysis set.","
",low,,,low,,protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,,
NCT00614939,hba1c and or MACE,y,orig,#1599,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00614939,hba1c and or MACE,y,updat,,,ELB,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00616811,hba1c and or MACE,y,orig,#2622,Kothny 2015,SA,low,low,,,,,,"IVRS assigned a randomisation num- ber to the patient, which was used to link the patient to a treatment arm and to specify unique medication numbers for the first package of study drug to be dispensed to the patient.","
",low,"Patients, inves- tigator staff, persons performing the assessments and data analysts remained blinded to the identity of the treatment from the time of randomisation until database lock.","
",low,"This study was a multicentre, randomised, par- allel-arm, double-blind, 24 week, clinical trial of vildagliptin (50 mg once daily) and sitagliptin (25 mg once daily) in pa- tients with type 2 diabetes and severe RI (ClinicalTrials.gov registration no. NCT00616811).","
",unclear,,,low,,,low,"After 24 weeks, the adjusted mean change in HbA 1c was -0.54% (5.9 mmol/mol) from a baseline of 7.52% (59 mmol/mol) with vildagliptin and -0.56% (6.1 mmol/ mol) from a baseline of 7.80% (62 mmol/mol) with sitagliptin (p = 0.874). FPG decreased by 0.47 � 0.37 mmol/l with vildagliptin and increased by 0.16 � 0.43 mmol/l with sitagliptin (p=0.185). Both treatments were well tolerated with overall similar safety profiles.
For assessment of safety and tolerability all treatment- emergent adverse events (AEs) were recorded and evaluated by the investigator for severity and possible relationship to study medication. Hypoglycaemia was defined as symptoms suggestive of low blood glucose confirmed by a self- monitored blood glucose measurement <3.1 mmol/l plasma glucose equivalent.
HbA 1c and FPG were measured at all visits. An analysis of responder rate was also performed to assess the percentage of patients achieving HbA 1c =6.5% (48 mmol/ mol) and <7.0% (53 mmol/mol). HbA 1c and routine biochem- istry laboratory assessments were performed by a central lab- oratory (Covance, Indianapolis, IN, USA).","


","After a 2 week, single-blind, placebo run-in period, eligible patients were randomised using inter- active voice response technology (IVRS) to receive either vildagliptin (50 mg once daily) or sitagliptin (25 mg once daily) for 24 weeks in addition to continuing their background treatment, if applicable.","
"
NCT00620282,hba1c and or MACE,y,orig,,,SA,Low,Low,,,,,,,,Low,,,Low,,,Low,,,Low,,,Low,,,,
NCT00621140,hba1c and or MACE,y,orig,#3491,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00621140,hba1c and or MACE,y,updat,,,ELB,Low,Low,Low,Unclear,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00622284,hba1c and or MACE,y,orig,#1763,Gallwitz 2012,LW,low,low,,,,,,,,unclear,,,low,"double-blind trial,","
",low,Loss to follow-up was similarly low in both treatment groups.,"
",low,,,low,,,,
NCT00637273,hba1c and or MACE,y,orig,#3422,Bergenstal 2010,"KA,SA",low,low,,,,,,"All patients, the study-site staff, the investigator and the sponsor were blinded to the identity of study medication during the double- blind treatment period. Randomization was stratiﬁed according to country and screening HbA 1c stratum [< 9% (< 75 mmol ⁄ mol), ‡ 9% (‡ 75 mmol ⁄ mol)]. In the","
",low,"All patients, the study-site staff, the investigator and the sponsor were blinded to the identity of study medication during the double- blind treatment period.","
",low,"DURATION-2, a randomised, double-blind, double-dummy, multi-center clinical trial","
",low,,,low,,,low,,protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,"Randomization was stratiﬁed according to country and screening HbA 1c stratum [< 9% (< 75 mmol ⁄ mol), ‡ 9% (‡ 75 mmol ⁄ mol)].","
"
NCT00641043,hba1c and or MACE,y,orig,#1513,Gomis 2011,LW,low,unclear,,,,,,,,low,,,low,,,low,,,low,,,low,,,,
NCT00641056,hba1c and or MACE,y,orig,#3431,Diamant 2010,"KA,SA","unclear,low","unclear,low",,,,,,,,"unclear,low",,,"high,low","METHODSdThis was a preplanned interim analysis (at 84 weeks) of an open-ended, controlled extension (expect- ed to last at least 2.5 years) of a previously reported 26-week, phase 3, multicenter, open-label, randomized, two-arm, parallel, comparator-controlled trial in patients with type 2 diabetes failing to maintain sufﬁcient glycemic control using metformin alone or in combination with sulfonylurea (4).","
","high,low","Analysis for the key efﬁcacy measure was performed for the intention- to-treat (ITT) analysis set, which was de- ﬁned as the group of patients who were randomly assigned to treatment and ex- posed to one or more doses of the study drug.","
",low,,,low,,protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,,
NCT00643851,hba1c and or MACE,y,orig,#1698,,KA,low,low,,,,,,,,low,,,low,,,low,,,low,,,low,,,,
NCT00654381,hba1c and or MACE,y,orig,#1646,Kawamori 2012,LW,unclear,unclear,,,,,,,,low,,,low,,,low,"Last observation carried forward was used to impute missing data for HbA1c, FPG, glycosylated albumin, body weight, BMI and waist circumference; observed cases were used for all other ef<U+FB01>cacy endpoints. Fisher�s","
",high,"open-label extension period to evaluate the long-term safety/tolerability of linagliptin for up to 52 weeks of treatment, the results of which are to be reported in a second publication to maintain the data integrity in the randomization period.","
",low,,,,
NCT00655863,hba1c and or MACE,y,orig,#1663,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00655863,hba1c and or MACE,y,updat,,,ELB,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00660907,hba1c and or MACE,y,orig,#1582,Nauck 2011,KA,low,low,,,,,,Allocation of study treatments was performed via an Interactive Web Response System in bal- anced block sizes of 4 to ensure approximate balance among treatment groups.,"
",low,Blinding of patients and investigators to study treat- ment was achieved using a double-dummy technique. Metformin was administered as an open-label treatment throughout the study.,"
",low,"This was a 52-week randomized, double- blind, parallel-group, active-controlled, phase III,","
",high,"For graphic presentation of HbA 1c and TBW over the 52-week treatment period, the change from baseline (last observation carried forward [LOCF]) was analyzed at each interval using ANCOVA with treatment as the <U+FB01>xed ef- fect and baseline value as the covariate.","
",low,,,low,,protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,Patients were randomized sequentially at study level according to a prede<U+FB01>ned computer-generated randomization scheme provided by AstraZeneca.,"
"
NCT00661362,hba1c and or MACE,y,orig,#1588,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00661362,hba1c and or MACE,y,updat,,,ELB,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00666458,hba1c and or MACE,y,orig,#3446,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00666458,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00673231,hba1c and or MACE,y,orig,#1704,Wilding 2012,KA,low,low,,,,,,"Patients were ran- domly assigned sequentially in 2 strata (with and without OADs) in balanced block sizes of 4, with the goal of ran- domly assigning at least 40% of study participants to the insulin-only stratum.","
",low,"Because primary ef<U+FB01>cacy analyses were planned at 24 weeks, personnel at AstraZeneca and Bristol- Myers Squibb had access to the data at that time. During the double-blind extension periods, investigators, patients, and study monitors remained blinded, except for cases of medical emergencies.","
",low,"primary ef<U+FB01>cacy analyses were planned at 24 weeks, personnel at AstraZeneca and Bristol- Myers Squibb had access to the data at that time. During the double-blind extension periods, investigators, patients, and study monitors remained blinded, except for cases of medical emergencies.","
",high,Ef<U+FB01>cacy variables were analyzed with the full analysis set.,"
",low,,,low,,protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,"A computer-generated, strati<U+FB01>ed, block-randomization schedule containing stratum, randomization code, and treatment was provided by AstraZeneca.","
"
NCT00676338,hba1c and or MACE,y,orig,#1655,,SA,Low,Low,,,,,,,,Low,,,Low,,,Low,,,Low,,,Low,,,,
NCT00680745,hba1c and or MACE,y,orig,#1563,Strojek 2011,KA,low,low,,,,,,Patients were randomized strictly sequentially at each centre.,"
",low,Blinding of dapagli<U+FB02>ozin tablets was achieved by double-blind allocation and use of a double- dummy technique because the dapagli<U+FB02>ozin 10 mg tablet size was slightly larger than that for the 2.5 and 5 mg doses. Glimepiride and rescue therapy were administered as open- label,"
",low,Blinding of dapagli<U+FB02>ozin tablets was achieved by double-blind allocation and use of a double- dummy technique because the dapagli<U+FB02>ozin 10 mg tablet size was slightly larger than that for the 2.5 and 5 mg doses. Glimepiride and rescue therapy were administered as open- label treatments.,"
",unclear,"with adjustment for baseline HbA1c. <b>For graphical presentation of HbA1c, TBW and FPG at 
weeks 4, 8, 12, 16, 20 and 24, the change from baseline [last 
observation carried forward (LOCF)] was analysed at each time 
point using ANCOVA with treatment group as <U+FB01>xed effect and 
baseline value as covariate.</b> Two analysis sets were de<U+FB01>ned:","
",low,,,low,,protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,A computer-generated randomization schedule was pro- vided by AstraZeneca using blocks to balance the treatment groups in a 1: 1: 1: 1 ratio.,"
"
NCT00683878,hba1c and or MACE,y,orig,#1716,Rosenstock 2012,"KA,SA",unclear,unclear,,,,,,,,"unclear,low",,"no blinding, but measurement unlikely to be influenced","low,high","METHODSdThis randomized, double- blind, placebo-controlled, parallel group, 24-week study,They were then randomized, along with patients previously receiving pioglitazone $30 mg, to 48 weeks of double-blind dapagliﬂozin 5 (n = 141) or 10 mg (n = 140) or placebo (n = 139) every day plus open-label pioglitazone.","
","high,low","Primary analysis was based on ANCOVA model using last observation carried forward;,Discontinuations were low and similar between the dapagliﬂozin and the placebo groups, none due to hypoglyce- mia. No major episodes of hypoglycemia occurred during the 48-week study.","
",low,,,low,"RESULTSdAt week 24, the mean reduction from baseline in HbA 1c was 20.42% for placebo versus 20.82 and 20.97% for dapagliﬂozin 5 and 10 mg groups, respectively (P = 0.0007 and P, 0.0001 versus placebo). Patients receiving pioglitazone alone had greater weight gain (3 kg) than those receiving dapagliﬂozin plus pioglitazone (0.7–1.4 kg) at week 48. Through 48 weeks: hypoglycemia was rare; more events suggestive of genital infection were reported with dapagliﬂozin (8.6–9.2%) than placebo (2.9%); events suggestive of urinary tract infection showed no clear drug effect (5.0–8.5% for dapagliﬂozin and 7.9% for placebo); dapagliﬂozin plus pioglitazone groups had less edema (2.1–4.3%) compared with placebo plus pioglitazone (6.5%); and congestive heart failure and fractures were rare.
but included in safety analysis. <b>Adverse events, laboratory abnormal- 
ities, and vital signs were assessed</b> for the safety and tolerability
The primary objective compared the change at 24 weeks from baseline in HbA 1c with each dose of dapagliﬂozin plus pioglitazone versus placebo plus pioglitazone. Secondary objectives included change from baseline in FPG, postprandial glucose (PPG) measured by 120-min post- challenge response to an oral glucose toler- ance test, and total body weight.","protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,


",,
NCT00688701,hba1c and or MACE,y,orig,#1705,Fonseca 2012,"KA,SA",low,low,,,,,,"Randomization of subjects, allocation of medication, and management of drug supplies was performed using an Interac- tive Voice Response System. Patients were stratiﬁed by screening values of HbA 1c (,8%, $8%) and BMI (,30 kg/m 2, $30 kg/m 2 ).","
","unclear,low",,,low,"METHODSdRandomized, double-blind, 12-week study of 361 patients not on glucose-lowering therapy (HbA 1c 7–10%) allocated to one of four once-daily subcutaneous dose increase regimens:","
","high,low","Analyses of the primary efﬁcacy vari- able (changes in HbA 1c from baseline to end point) were performed using an ANCOVA model, with treatment group, screening strata for HbA 1c and BMI, and country as ﬁxed factors and baseline HbA 1c as a covariate. The same method was used for analysis of secondary efﬁcacy parameters. The Last Observation Carry Forward procedure was used to handle missing assessments, early","
",low,,,low,,protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,"Randomization of subjects, allocation of medication, and management of drug supplies was performed using an Interac- tive Voice Response System. Patients were stratiﬁed by screening values of HbA 1c (,8%, $8%) and BMI","
"
NCT00698932,hba1c and or MACE,y,orig,#1641,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00698932,hba1c and or MACE,y,updat,,,ELB,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00700817,hba1c and or MACE,y,orig,#3393,Pratley 2010,"KA,SA","unclear,low","unclear,low",,,,,,,,"high,low",,,"high,low","a multinational, randomised, parallel- group, open-label, active-comparator trial,
a multinational, randomised, parallel- group, open-label, active-comparator trial,","

","high,low",Missing data were imputed using the last observation carried forward (LOCF) method.,"
",low,,,low,,protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,,
NCT00701090,hba1c and or MACE,y,orig,#8910,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00701090,hba1c and or MACE,y,updat,,,ELB,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00707031,hba1c and or MACE,y,orig,#1850,Rosenstock 2013,SA,low,low,,,,,,Treatment numbers were allocated using an interac- tive voice-response system managed by S-CLINICA and according to a prede<U+FB01>ned randomization list.,"
",low,,"no blinding, but measurement unlikely to be influenced",high,"This was a 24-week, phase III, random- ized, parallel-group, open-label, multi- center, multinational, noninferiority study followed by a long-term safety extension of at least 52 weeks (data not reported here).","
",low,The last observation carried forward (LOCF) procedure was used to handle missing assessments or early discontinuation during the study treatment period.,"
",low,,,low,"RESULTSdLixisenatide once daily demonstrated noninferiority in HbA 1c reduction versus exenatide twice daily. The least squares mean change was 20.79% (mean decrease 7.97 to 7.17%) for lixisenatide versus 20.96% (mean decrease 7.96 to 7.01%) for exenatide, and treat- ment difference was 0.17% (95% CI, 0.033�0.297), meeting a prede<U+FB01>ned noninferiority upper CI margin of 0.4%. Responder rate (HbA 1c ,7.0%) and improvements in fasting plasma glucose were comparable. Both agents induced weight loss (from 94.5 to 91.7 kg and from 96.7 to 92.9 kg with lixisenatide and exenatide, respectively). Incidence of adverse events (AEs) was similar for lixisenatide and exenatide, as was incidence of serious AEs (2.8 and 2.2%, respectively).
The primary ef<U+FB01>cacy end point was the absolute change in HbA 1c from baseline to week 24. HbA 1c was measured at a National Glycohemo- globin Standardization Program Level 1�certi<U+FB01>ed central laboratory using a high-performance liquid chromatography method. The secondary ef<U+FB01>cacy measures included the percentage of participants at- taining HbA 1c ,7.0% or #6.5% at week 24 and changes in FPG and body weight from baseline to week 24.","

","After a screening period of up to 2 weeks, participants were randomized in a 1:1 ratio to receive either lixisenatide once daily or exenatide twice daily using a cen- tralized randomization through an inter- active voice-response system.","
"
NCT00707993,hba1c and or MACE,y,orig,#1809,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00707993,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00712673,hba1c and or MACE,y,orig,#1810,Ahren 2013,"SA,LW",low,low,,,,,,,,low,,,low,,,low,,,low,,,low,,,,
NCT00713830,hba1c and or MACE,y,orig,#2088,Rosenstock 2014,"SA,LW",low,"low,unclear",,,,,,,,low,,,low,,,low,114 patients completed the 24-week treatment period (Figure S1). The discontinuation rate was 13.2% (n = 10) in the lixisenatide group and 5.9% (n = 3) in the placebo group.,"
",low,,,low,,,Randomization was stratiﬁed by HbA 1c at screening,"
"
NCT00715624,hba1c and or MACE,y,orig,#1834,,SA,low,low,,,,,,,,low,,,low,,,low,,,low,,,low,,,,
NCT00717457,hba1c and or MACE,y,orig,#2216,Rosenstock 2013,"SA,LW",low,low,,,,,,,,low,,,low,,,low,,,low,,,low,,,,
NCT00722371,hba1c and or MACE,y,orig,#1974,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00722371,hba1c and or MACE,y,updat,,,ELB,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00728351,hba1c and or MACE,y,orig,,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00728351,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,Low,Low,Unclear,Unclear,,,,,,,,,,,,,,,,,,,,
NCT00740051,hba1c and or MACE,y,orig,#2160,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00740051,hba1c and or MACE,y,updat,,,ELB,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00744367,hba1c and or MACE,y,orig,#1727,Henry 2012,SA,low,low,,,,,,Randomization was achieved by use of a central randomiza- tion system (by site).,"
",low,,"no blinding, but measurement unlikely to be influenced",low,"This phase III, multicenter, randomized, double-blind, par- allel-group, placebo-controlled trial","
",low,Missing data were imputed using the last-observation- carried-forward method.,"
",low,,,low,,,Patients were stratified by disease severity into two groups [glycosylated he- moglobin (HbA1c) 8.0% and HbA1c 8.0%].,"
"
NCT00744926,hba1c and or MACE,y,orig,#1674,Raz 2012,SA,low,unclear,,,,,,,,low,,"no blinding, but measurement unlikely to be influenced",low,"24-week, randomized, double-blind, placebo-controlled study","
",low,Missing data were imputed using the last observation carried forward method.,"
",low,,,low,"<b>assessment of b-cell function (HOMA-B). Exploratory end points are listed in Sup- plementary Table 1. 
Safety assessments included adverse events (AEs), vital signs, physical examinations, clinical laboratory tests, electrocardio- grams, and hypoglycemia.</b> Statistical analysis Approximately 130 patients
The primary ef<U+FB01>cacy end point was absolute change from baseline in HbA 1c after 24 weeks. Secondary ef<U+FB01>cacy end points included HbA 1c response rates (#6.5 and #7%) and changes in fasting plasma glucose (FPG), fructosamine, body weight, fasting proinsulin, fasting proinsulin- to-insulin ratio, and homeostasis model","

","Patients were randomly assigned (1:1:1) to subcutaneous taspoglutide 10 mg weekly, taspoglutide 20 mg weekly (after 10 mg weekly for the initial 4 weeks), or placebo. Patients were strati<U+FB01>ed by base- line HbA 1c (,8.0 or $8.0%).","
"
NCT00751114,hba1c and or MACE,y,orig,#1749,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00751114,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,High,High,Unclear,Low,Open label,,,,,,,,,,,,,,,,,,,
NCT00754988,hba1c and or MACE,y,orig,#12158,Bergenstal 2012,"SA,LW",low,low,,,,,,,,low,,,low,,,low,,,low,,,low,,,,
NCT00755287,hba1c and or MACE,y,orig,#2203,Nauck 2013,"KA,SA",low,"unclear,low",,,,,,,,"high,low",,unblinded.,"high,low","T-emerge 5 was a 24-week, randomized, open-label, parallel- group, phase 3 trial conducted at 187 centres in 25 countries","
","high,low",Efﬁcacy outcomes were analysed for the intent-to-treat population. The primary endpoint was analysed using analysis of variance with treatment and region as variables and baseline value of the endpoint as covariate. Missing values were imputed as the last observation carried forward.,"
",low,,,low,,protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,"Eligible patients were randomized (1:1:1) to subcutaneous taspoglutide 10 mg once weekly, taspoglutide 10 mg once weekly for 4 weeks followed by 20 mg once weekly thereafter, or insulin glargine once daily. Insulin glargine was started at 10 IU ⁄ day with forced titration to fasting plasma glucose £ 6.1 mmol ⁄ l (see also Supporting Information, Table S1). Patients continued metformin treatment but, in order to avoid hypoglycaemia, sulphonylurea treatment was withdrawn 5 Æ 1 days prior to initiating study drug. Randomization was stratiﬁed by HbA 1c level [< 64 mmol ⁄ mol (8.0%) or ‡ 64 mmol ⁄ mol","
"
NCT00757588,hba1c and or MACE,y,orig,#1675,Barnett 2012,LW,low,low,,,,,,interactive voice response system,"
",low,,,low,,,low,,,low,,,low,,,a centrally blocked randomi- zation schedule to receive saxagliptin,"
"
NCT00763451,hba1c and or MACE,y,orig,#2417,,SA,Low,Low,,,,,,,,Low,,,Low,,,Low,,,Low,,,Low,,,,
NCT00763815,hba1c and or MACE,y,orig,#1833,,SA,Low,Low,,,,,,,,Low,,,Low,,,Low,,,Low,,,Low,,,,
NCT00765817,hba1c and or MACE,y,orig,#3482,,SA,Low,Low,,,,,,,,Low,,,Low,,,Low,,,Low,,,Low,,,,
NCT00790205,hba1c and or MACE,y,orig,#2620,Green 2015,LW,unclear,unclear,,,,,,,,low,,,low,,,low,,explained missing,low,,,low,,,,
NCT00798161,hba1c and or MACE,y,orig,#1683,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00798161,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,Low,Unclear,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00800683,hba1c and or MACE,y,orig,,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00800683,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00813995,hba1c and or MACE,y,orig,#1745,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00813995,hba1c and or MACE,y,updat,,,ELB,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00819091,hba1c and or MACE,y,orig,#2157,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00819091,hba1c and or MACE,y,updat,,,ELB,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00822211,hba1c and or MACE,y,orig,#1686,,ELB,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT00822211,hba1c and or MACE,y,updat,,,ELB,Unclear,Unclear,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,
NCT00823992,hba1c and or MACE,y,orig,#2271,Hollander 2013,"KA,SA",low,low,,,,,,Randomization was achieved by use of a central randomization sys- tem (by site); the randomization code was not broken until the end of the study. All efficacy parameter data were blinded to the investi- gators during the 24-week double-blind treatment period.,"
","unclear,low",,,low,"T-emerge 7 was a Phase 3, multicenter, randomized, double-blind, parallel-group, placebo-controlled trial (NCT00823992) of obese patients with type 2 diabetes mellitus conducted at 63 centers in eight countries.","
","high,low","Efficacy analyses were conducted on the intent-to-treat (ITT) popu- lation, defined as all randomized patients who received at least one dose of study medication and had an evaluable HbA1c measurement at baseline ( day 1) and at least one post-baseline measurement. Missing data were imputed using the last observation carried for- ward method. Analysis of covariance (ANCOVA) was used to assess differences in absolute change from baseline in HbA1c between treatment groups.","
",low,,,low,,protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,Patients were stratified by body mass index (BMI) into two groups (<40 kg/m 2 and !40 kg/m 2 ) and randomized in a 1:1 ratio.,"
"
NCT00837577,hba1c and or MACE,y,orig,#11451,Tajima 2013,KA,low,low,,,,,,"treatment compliance during the placebo <b>run-in, were randomized (1:1) to sitagliptin 50 mg/day 
or matching placebo for 12 weeks in a double-blind fashion, 
using a computer-generated allocation schedule.</b> On completion of the double-blind","
",unclear,,,low,"The present randomized clinical trial was carried out at 26 sites in Japan. After an initial 12-week, placebo-controlled, double- blind treatment period that assessed the primary ef<U+FB01>cacy hypothesis, patients entered a 40-week, open-label treatment period during which all patients received sitagliptin.","
",high,Ef<U+FB01>cacy was assessed on the full analysis set (FAS) population that included all randomized patients who took at least one dose of the study drug and had a baseline measurement or at least one measurement post-randomization.,"
",low,,,low,,protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,"compliance during the placebo run-in, <b>were randomized (1:1) to sitagliptin 50 mg/day 
or matching placebo for 12 weeks in a double-blind fashion, 
using a computer-generated allocation schedule.</b> On completion of the double-blind","
"
NCT00838903,hba1c and or MACE,y,orig,#2149,Ahren 2014,"KA,SA",low,low,,,,,,,,"unclear,low",,,low,"This was a phase 3, randomized, double- blind, placebo- and active-controlled parallel-group study","
","high,low","tested if noninferiority was established. <b>The primary efﬁcacy end 
point (intent-to-treat population/last 
observation carried forward algorithm)</b> was analyzed using an ANCOVA","
",low,,,low,,protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,"registered as NCT00838903 at ClinicalTrials.gov. <b>Eli- 
gible patients were stratiﬁed by HbA 1c 
level (,8.0% [,63.9 mmol/mol] vs. 
$8.0% [$63.9 mmol/mol]), history of 
myocardial infarction (MI), and age 
(,65 vs. $65 years) and were ran- 
domly assigned (3:3:3:1) to receive, in 
addition to their background metfor- 
min, 1 of 4 treatments at baseline:</b> albi- glutide 30 mg, sitagliptin","
"
NCT00838916,hba1c and or MACE,y,orig,#2363,Weissman 2014,"KA,SA",low,low,,,,,,"Randomisation was by a sequestered fixed schedule (electronic supplementary material [ESM] Methods) and was stratified by HbA 1c level (<8.0% vs ≥8.0% [<63.9 vs ≥63.9 mmol/mol]), age (<65 vs ≥65 years), history of myocardial infarction (yes vs no), and current glucose-lowering treatment","
","high,low",,unblinded.,"high,low","This phase 3 study was a 3 year, randomised, open-label, parallel-group multicentre clinical trial designed to evaluate the efficacy and safety of weekly subcutaneous doses of albiglutide compared with daily subcutaneous doses of insulin glargine in patients with type 2 diabetes.","
","high,low","ADA criteria [11]. Statistical analysis <b>The primary efficacy endpoint was change from baseline in HbA 1c at week 52 in the intent-to-treat (ITT) population, which included all randomised patients who re- ceived ≥1 dose of study medication and had both a baseline and ≥1 post-baseline assessments of HbA 1c. Secondary effi- cacy endpoints included change from baseline in FPG at week 52, changes from baseline in HbA 1c and FPG over time, time to hyperglycaemic rescue, proportion of patients achieving HbA 1c <6.5% (<47.5 mmol/mol), <7.0% (<53.0 mmol/mol) and <7.5% (<58.5 mmol/mol), change in body weight over time, and population pharmacokinetics of albiglutide. 
With a planned enrolment of 225 patients in the insulin glargine group and 450 patients in the albiglutide group, the study had ≥92% power to demonstrate non-inferiority of albiglutide vs insulin glargine for HbA 1c change from baseline to week 52, assuming a non-inferiority limit of 0.3% (3.3 mmol/mol). In general, last observation carried forward (LOCF) was used for all efficacy endpoints.</b> Patients who withdrew from the","
",low,,,low,,protocol is available and all pre-specified outcomes of interest to the review reported in the pre-specified way.,"Randomisation was by a sequestered fixed schedule (electronic supplementary material [ESM] Methods) and was stratified by HbA 1c level (<8.0% vs ≥8.0% [<63.9 vs ≥63.9 mmol/mol]), age (<65 vs ≥65 years), history of myocardial infarction (yes vs no), and current glucose-lowering","
"
